Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Akroma's Memorial,M13,,,,,,
main,1,All Is Dust,ROE,,,,,,
main,1,Arbor Elf,WWK,,,,,,
main,1,Argothian Elder,USG,,,,,,
main,1,Asceticism,SOM,,,,,,
main,1,Beast Whisperer,,,,,,,
main,1,Beast Within,NPH,,,,,,
main,1,Boreal Druid,,,,,,,
main,1,"Boseiju, Who Shelters All",V12,foil,,,,,
main,1,Cavern of Souls,UMA,,,,,,
main,1,Chameleon Colossus,V13,foil,,,,,
main,1,Coat of Arms,M10,,,,,,
main,1,Collective Unconscious,C14,,,,,,
main,1,Craterhoof Behemoth,AVR,,,,,,
main,1,Creeping Renaissance,,foil,,,,,
main,1,Crop Rotation,ULG,,,,,,
main,1,Devoted Druid,,,,,,,
main,1,"Dwynen, Gilt-Leaf Daen",ORI,,,,,,
maybe,1,"Eladamri, Lord of Leaves",,,,,,,
main,1,Elvish Archdruid,M12,foil,,,,,
main,1,Elvish Champion,8ED,foil,,,,,
main,1,Elvish Guidance,,foil,,,,,
main,1,Elvish Harbinger,LRW,,,,,,
main,1,Elvish Mystic,000,,,,,,
main,1,Elvish Reclaimer,,,,,,,
main,1,Elvish Visionary,ALA,foil,,,,,
main,1,Eternal Witness,,,,,,,
main,1,"Ezuri, Renegade Leader",SOM,foil,,,,,
main,1,Farhaven Elf,SHM,,,,,,
main,21,Forest,JUD,foil,,,,,
main,1,"Freyalise, Llanowar's Fury",,,,,,,True
main,1,Fyndhorn Elves,V13,foil,,,,,
main,1,Gaea's Cradle,,,,,,,
main,1,Garruk Wildspeaker,DDD,foil,,,,,
main,1,Genesis Wave,SOM,foil,,,,,
main,1,Gilt-Leaf Archdruid,,,,,,,
main,1,Green Sun's Zenith,MBS,,,,,,
main,1,Growing Rites of Itlimoc,,,,,,,
main,1,Guardian Project,RNA,,,,,,
main,1,Heritage Druid,,,,,,,
main,1,Heroic Intervention,,,,,,,
main,1,Homeward Path,C16,,,,,,
main,1,Imperious Perfect,,,,,,,
main,1,Joraga Treespeaker,,,,,,,
main,1,Karn Liberated,NPH,,,,,,
main,1,"Kozilek, Butcher of Truth",ROE,,,,,ZH,
main,1,Llanowar Elves,M12,foil,,,,,
main,1,"Marwyn, the Nurturer",,,,,,,
main,1,Masked Admirers,MMA,foil,,,,,
main,1,Maze of Ith,V12,foil,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Oracle of Mul Daya,,,,,,,
main,1,"Oran-Rief, the Vastwood",C14,,,,,,
main,1,Overwhelming Stampede,,,,,,,
main,1,Praetor's Counsel,,,,,,,
main,1,Priest of Titania,,,,,,,
main,1,Quirion Ranger,VIS,,,,,,
main,1,Reclamation Sage,000,,,,,,
main,1,Reliquary Tower,M13,,,,,,
main,1,Seeker of Skybreak,7ED,,,,,,
main,1,Shamanic Revelation,000,,,,,,
main,1,Skullclamp,C14,,,,,,
main,1,Skyshroud Claim,NMS,,,,,,
main,1,Skyshroud Poacher,,,,,,,
maybe,1,Strip Mine,,,,,,,
main,1,Sylvan Library,CC1,,,,,,
main,1,Tajuru Preserver,,,,,,,
main,1,Tempt with Discovery,C16,,,,,,
main,1,Triumph of the Hordes,NPH,,,,,,
main,1,Ugin's Nexus,,,,,,,
main,1,"Ugin, the Spirit Dragon",000,,,,,,
main,1,"Ulamog, the Ceaseless Hunger",,,,,,,
main,1,"Ulamog, the Infinite Gyre",MM2,,,,,,
main,1,Umbral Mantle,,,,,,,
main,1,Vanquisher's Banner,XLN,,,,,,
main,1,Viridian Emissary,MBS,foil,,,,,
main,1,Void Winnower,BFZ,,,,,,
main,1,Wirewood Channeler,,,,,,,
main,1,Wirewood Lodge,ONS,foil,,,,,
main,1,Wirewood Symbiote,EMA,,,,,,
main,1,Wood Elves,POR,foil,,,,,
main,1,"Yavimaya, Cradle of Growth",MH2,,,,,,
