Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abjure,,,,,,,
main,1,AEtherize,,,,,,,
maybe,1,Altar of the Brood,,,,,,,
main,1,Anticipate,,,,,,,
main,1,Arcane Denial,,,,,,,
main,1,Bident of Thassa,,,,,,,
main,1,Blink of an Eye,,,,,,,
maybe,1,Blue Sun's Zenith,,,,,,,
main,1,Boomerang,,,,,,,
main,1,Brainstorm,,,,,,,
main,1,Capsize,,,,,,,
main,1,Careful Study,,,,,,,
main,1,Castle Vantress,,,,,,,
main,1,Coldsteel Heart,,,,,,,
main,1,Counterspell,,,,,,,
main,1,Crystal Vein,,,,,,,
main,1,Curse of the Swine,,,,,,,
maybe,1,Deadeye Navigator,,,,,,,
main,1,Devious Cover-Up,,,,,,,
main,1,Dig Through Time,,,,,,,
main,1,Dispel,,,,,,,
main,1,Disrupt,,,,,,,
main,1,Dissolve,,,,,,,
main,1,Drawn from Dreams,,,,,,,
main,1,Dream Cache,,,,,,,
main,1,Echoing Truth,,,,,,,
main,1,Eye of Ramos,,,,,,,
main,1,Foil,,,,,,,
main,1,Force Spike,,,,,,,
main,1,Frantic Search,,,,,,,
main,1,Heraldic Banner,,,,,,,
main,1,High Tide,,,,,,,
main,1,Impulse,,,,,,,
main,1,Into the Roil,,,,,,,
main,22,Island,,,,,,,
main,1,Lat-Nam's Legacy,,,,,,,
main,1,Leadership Vacuum,,,,,,,
main,1,Leveler,,,,,,,
main,1,Lonely Sandbar,,,,,,,
main,1,Long-Term Plans,,,,,,,
main,1,Mage-Ring Network,,,,,,,
main,1,Mana Leak,,,,,,,
main,1,Mass Polymorph,,,,,,,
main,1,Memory Lapse,,,,,,,
main,1,Mental Misstep,,,,,,,
main,1,Merchant Scroll,,,,,,,
main,1,Mind Stone,,,,,,,
main,1,Miscast,,,,,,,
main,1,Mystic Sanctuary,,,,,,,
main,1,Negate,,,,,,,
main,1,Overwhelming Denial,,,,,,,
main,1,Peer Through Depths,,,,,,,
maybe,1,Peregrine Drake,,,,,,,
main,1,Ponder,,,,,,,
main,1,Portent,,,,,,,
main,1,Preordain,,,,,,,
main,1,Prismatic Lens,,,,,,,
main,1,Reality Shift,,,,,,,
main,1,Reconnaissance Mission,,,,,,,
main,1,Reliquary Tower,,,,,,,
main,1,Rewind,,,,,,,
main,1,River's Rebuke,,,,,,,
main,1,Runechanter's Pike,,,,,,,
main,1,Saprazzan Skerry,,,,,,,
main,1,See Beyond,,,,,,,
main,1,Serum Visions,,,,,,,
main,1,Sky Diamond,,,,,,,
main,1,Sleight of Hand,,,,,,,
main,1,Snap,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Spell Pierce,,,,,,,
main,1,Star Compass,,,,,,,
main,1,Supreme Will,,,,,,,
main,1,Synthetic Destiny,,,,,,,
main,1,Tale's End,,,,,,,
main,1,"Talrand, Sky Summoner",,,True,,,,True
main,1,Thassa's Intervention,,,,,,,
main,1,Thassa's Oracle,,,,,,,
main,1,Treasure Cruise,,,,,,,
maybe,1,Trinket Mage,,,,,,,
main,1,Unwind,,,,,,,
main,1,Void Shatter,,,,,,,
main,1,Wash Out,,,,,,,
main,1,Zhalfirin Void,,,,,,,
