Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Adarkar Wastes,10E,foil,,,,,
main,1,Anticipate,BFZ,foil,,,,,
main,1,Arcane Denial,A25,foil,,,,,
main,1,Azorius Signet,MM3,foil,,,,,
main,1,"Baral, Chief of Compliance",AER,pre,,,,,
main,1,Blinkmoth Nexus,MM2,foil,,,,,
main,1,Brainstorm,SS1,foil,,,,,
main,1,Capsize,AKHMPS,foil,,,,,
main,1,Cascading Cataracts,AKH,foil,,,,,
main,1,Cataclysmic Gearhulk,MPS,foil,,,,,
maybe,1,Cataclysmic Gearhulk,,,,,,,
main,1,Celestial Colonnade,UMAP,foil,,,,,
main,1,Clockspinning,TSP,foil,,,,,
main,1,Coastal Breach,C16,,,,,,
main,1,Command Tower,C13,,,,,,
main,1,Confounding Conundrum,ZNR,foil,,,,,
main,1,Counterspell,A25,foil,,,,,
main,1,Crawling Barrens,ZNR,foil,,,,,
maybe,1,Crucible of Worlds,,,,,,,
main,1,Crush of Tentacles,OGW,pre,,,,,
main,1,Cryptic Command,IMA,foil,,,,,
main,1,Cyclonic Rift,RTR,foil,,,,,
main,1,Darksteel Citadel,MM2,foil,,,,,
main,1,Devastating Mastery,STX,,,,,,
main,1,Devastation Tide,AVR,foil,,,,,
main,1,Dig Through Time,KTK,foil,,,,,
main,1,Disallow,AER,pre,,,,,
main,1,Dissipate,ISD,foil,,,,,
main,1,Drownyard Temple,SOI,foil,,,,,
main,1,Encircling Fissure,BFZ,foil,,,,,
main,1,Equinox,LEG,,,,,,
main,1,Fact or Fiction,V13,foil,,,,,
main,1,Faerie Conclave,10E,foil,,,,,
main,1,Flagstones of Trokair,UMA,foil,,,,,
maybe,1,Flood of Recollection,,,,,,,
maybe,1,Flooded Strand,,,,,,,
main,1,Forbidding Watchtower,10E,foil,,,,,
maybe,1,Force of Will,,,,,,,
main,1,Frantic Search,UMA,foil,,,,,
maybe,1,Gitaxian Probe,,,,,,,
main,1,Glacial Fortress,XLN,foil,,,,,
main,1,Hallowed Fountain,RNA,foil,,,,,
main,1,Hour of Revelation,HOU,pre,,,,,
main,1,Impulse,V13,foil,,,,,
main,1,Inkmoth Nexus,MBS,foil,,,,,
main,1,Insidious Will,KLD,foil,,,,,
main,1,Irrigated Farmland,AKH,foil,,,,,
main,10,Island,,foil,,,,,
main,1,Mana Crypt,EMA,foil,,,,,
main,1,Mana Vault,UMA,foil,,,,,
main,1,Mind Stone,IMA,foil,,,,,
maybe,1,Mirrorweave,,,,,,,
main,1,Monastery Mentor,FRF,foil,,,,,
main,1,Murmuring Mystic,GRN,foil,,,,,
main,1,Mystic Gate,SHM,foil,,,,,
main,1,Mystic Speculation,FUT,foil,,,,,
maybe,1,Mystic Speculation,,,,,,,
main,1,Mystical Tutor,EMA,foil,,,,,
main,1,Nimbus Maze,IMA,foil,,,,,
main,1,"Noyan Dar, Roil Shaper",,foil,,,,,True
main,1,Overburden,PCY,foil,,,,,
maybe,1,Pact of Negation,,,,,,,
main,1,Part the Waterveil,BFZ,pre,,,,,
main,6,Plains,,foil,,,,,
main,1,Planar Outburst,BFZ,foil,,,,,
main,1,Ponder,M12,foil,,,,,
main,1,Prairie Stream,BFZ,foil,,,,,
main,1,Preordain,M11,foil,,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Render Silent,DGM,foil,,,,,
main,1,Return to Dust,TSP,foil,,,,,
main,1,Rewind,MM3,foil,,,,,
main,1,Rhystic Study,CMA,foil,,,,,
main,1,Sacred Ground,8ED,foil,,,,,
main,1,Scatter to the Winds,BFZ,foil,,,,,
main,1,Sea Gate Restoration,ZNR,foil,,,,,
maybe,1,Sea Gate Restoration,,,,,,,
main,1,Sea of Clouds,BBD,,,,,,
maybe,1,Settle the Wreckage,,,,,,,
main,1,Sol Ring,V10,foil,,,,,
maybe,1,Standstill,,,,,,,
main,1,Swan Song,THS,foil,,,,,
main,1,Swords to Plowshares,IMA,foil,,,,,
main,1,Teferi's Protection,000,foil,,,,,
maybe,1,Teferi's Protection,,,,,,,
main,1,Teferi's Response,INV,foil,,,,,
main,1,"Teferi, Hero of Dominaria",GRNMED,foil,,,,,
main,1,Temple of the False God,SCG,foil,,,,,
main,1,Terra Eternal,WWK,foil,,,,,
main,1,Thespian's Stage,UMA,foil,,,,,
main,1,Think Twice,ISD,foil,,,,,
main,1,Thought Vessel,C15,,,,,,
main,1,To Arms!,GPT,foil,,,,,
main,1,"Tomik, Distinguished Advokist",WAR,foil,,,,,
main,1,Trade Routes,8ED,foil,,,,,
main,1,Tragic Arrogance,ORI,pre,,,,,
maybe,1,Unity of Purpose,,,,,,,
main,1,Unwind,DOM,foil,,,,,
main,1,Vanish into Memory,MM3,foil,,,,,
maybe,1,Vanish into Memory,,,,,,,
main,1,View from Above,CON,foil,,,,,
