Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,,,,,,,
main,1,Arcane Denial,CMR,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Arcum Dagsson,,,,,,,True
main,1,Basilisk Collar,AFC,,,,,,
main,1,Blackblade Reforged,CMR,,,,,,
main,1,Buried Ruin,,,,,,,
main,1,Burnished Hart,,,,,,,
main,1,Commit / Memory,,,,,,,
main,1,Corridor Monitor,,,,,,,
main,1,Crashing Drawbridge,,,,,,,
main,1,Crown of Empires,,,,,,,
main,1,Curse of the Swine,,,,,,,
main,1,Darksteel Citadel,,,,,,,
main,1,Darksteel Forge,,,,,,,
main,1,Etherium Sculptor,,,,,,,
main,1,Evacuation,,,,,,,
main,1,Hedron Crawler,,,,,,,
main,1,Helm of Kaldra,,,,,,,
main,1,Illusionist's Bracers,,,,,,,
main,1,Imprisoned in the Moon,AFC,,,,,,
main,1,Inventors' Fair,,,,,,,
main,27,Island,,,,,,,
main,1,Kaldra Compleat,MH2,,,,,,
main,1,Mirrormade,,,,,,,
main,1,Miscast,M21,,,,,,
main,1,Myr Turbine,,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,Mystic Sanctuary,TSR,,,,,,
main,1,Negate,STA,,,,,,
main,1,Nuisance Engine,,,,,,,
main,1,Ornithopter,,,,,,,
main,1,Palladium Myr,,,,,,,
main,1,Perplexing Test,,,,,,,
main,1,Pilgrim's Eye,,,,,,,
main,1,Pongify,,,,,,,
main,1,Propaganda,,,,,,,
main,1,Rapid Hybridization,,,,,,,
main,1,Ravenform,,,,,,,
main,1,Reality Shift,,,,,,,
main,1,Reshape,,,,,,,
main,1,Rishadan Pawnshop,,,,,,,
main,1,"Sai, Master Thopterist",,,,,,,
main,1,Saw it Coming,,,,,,,
main,1,Scepter of Empires,,,,,,,
main,1,Scorn Effigy,KHM,,,,,,
main,1,Sculpting Steel,,,,,,,
main,1,Shield of Kaldra,,,,,,,
main,1,Shimmer Myr,CMR,,,,,,
main,1,Sigiled Sword of Valeron,M19,,,,,,
main,1,Silver Myr,,,,,,,
main,1,Skittering Surveyor,,,,,,,
main,1,Sky Diamond,KHC,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,,,,,,,
main,1,Solve the Equation,,,,,,,
main,1,Spectral Deluge,,,,,,,
main,1,Staff of Domination,CMR,,,,,,
main,1,Swiftfoot Boots,AFC,,,,,,
main,1,Sword of Kaldra,,,,,,,
main,1,Thopter Spy Network,,,,,,,
main,1,Thought Vessel,,,,,,,
main,1,Throne of Empires,,,,,,,
main,1,Transmogrifying Wand,,,,,,,
main,1,Tribute Mage,H1R,foil,,,,,
main,1,Trinket Mage,TSR,,,,,,
main,1,Trophy Mage,,,,,,,
main,1,Tyrite Sanctum,,,,,,,
main,1,Walking Atlas,WWK,,,,,,
main,1,Wash Out,CM1,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
main,1,Whir of Invention,,,,,,,
main,1,Worldslayer,M12,,,,,,
main,1,Worn Powerstone,,,,,,,
