Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Rector,UDS,foil,,,,,
main,1,Arcane Signet,CMR,foil,,,,,
main,1,Arena Rector,000,foil,,,,,
main,1,Arid Mesa,MH2,,,,,,
maybe,1,"Ashiok, Dream Render",SLD,foil,,,,,
main,1,Assassin's Trophy,GRN,,,,,,
maybe,1,Astral Cornucopia,BNG,foil,,,,,
main,1,"Atraxa, Praetors' Voice",2XM,foil,,,,,True
main,1,Bayou,3ED,,,,,,
main,1,Birds of Paradise,000,foil,,,,,
main,1,Bloodstained Mire,EXP,foil,,,,,
main,1,Cabal Coffers,000,foil,,,,,
main,1,Captain Sisay,SLD,foil,,,,,
main,1,Carth the Lion,MH2,foil,,,,,
main,1,Chromatic Lantern,MPS,foil,,,,,
main,1,Coalition Relic,TSR,foil,,,,,
main,1,Command Tower,C16,,,,,,
main,1,Counterspell,STA,,,,,,
main,1,Crop Rotation,2XM,foil,,,,,
main,1,Cultivate,M21,foil,,,,,
main,1,Cyclonic Rift,2XM,foil,,,,,
main,1,Damn,MH2,,,,,,
maybe,1,Damnation,PLC,foil,,,,,
maybe,1,Deathrite Shaman,RTR,foil,,,,,
main,1,Demonic Tutor,STA,,,,,,
main,1,Despark,STA,,,,,,
main,1,Doubling Season,2XM,foil,,,,,
main,1,Dovin Baan,KLD,foil,,,,,
main,1,"Elspeth, Knight-Errant",GRNMED,foil,,,,,
main,1,"Elspeth, Sun's Champion",THS,,,,,,
main,1,Enlightened Tutor,000,foil,,,,,
main,1,Exotic Orchard,C16,,,,,,
main,1,Fellwar Stone,9ED,foil,,,,,
main,1,Flooded Strand,KTK,,,,,,
main,1,Force of Will,000,foil,,,,,
main,3,Forest,ZNR,foil,,,,,
main,1,Grim Tutor,M21,,,,,,
main,1,Hall of Heliod's Generosity,MH1,,,,,,
maybe,1,Heroic Intervention,M21,foil,,,,,
main,1,Imperial Seal,000,foil,,,,,
main,1,Indatha Triome,IKO,,,,,,
main,1,Inkmoth Nexus,SLD,,,,,,
main,3,Island,ZNR,foil,,,,,
main,1,"Jace, the Mind Sculptor",WARMED,foil,,,,,
main,1,"Jace, Wielder of Mysteries",SLD,foil,,,,,
main,1,"Kiora, the Crashing Wave",BNG,,,,,,
main,1,Krosan Grip,STA,foil,,,,,
main,1,Liliana Vess,M15,foil,,,,,
maybe,1,Maelstrom Pulse,2XM,foil,,,,,
main,1,Mana Crypt,MPS,foil,,,,,
main,1,Mana Drain,000,foil,,,,,
main,1,Marsh Flats,MH2,,,,,,
main,1,Merciless Eviction,2XM,foil,,,,,
main,1,Misty Rainforest,MH2,,,,,,
main,1,Mox Diamond,V10,foil,,,,,
main,1,Murmuring Bosk,V12,foil,,,,,
main,1,Mystic Remora,ICE,,,,,,
main,1,Narset Transcendent,DTK,,,,,,
main,1,"Narset, Parter of Veils",WAR,,,,,,
maybe,1,Noble Hierarch,2XM,,,,,,
main,1,Oath of Nissa,OGW,foil,,,,,
main,1,Oath of Teferi,DOM,foil,,,,,
main,1,"Oko, Thief of Crowns",ELD,,,,,,
main,3,Plains,ZNR,foil,,,,,
main,1,Polluted Delta,KTK,,,,,,
maybe,1,"Reki, the History of Kamigawa",MYSTOR,foil,,,,,
main,1,Rhystic Study,000,foil,,,,,
main,1,Rings of Brighthearth,MPS,foil,,,,,
main,1,Savannah,3ED,,,,,,
main,1,Scalding Tarn,MH2,,,,,,
maybe,1,Scroll Rack,CMR,foil,,,,,
main,1,Scrubland,3ED,,,,,,
main,1,Sensei's Divining Top,V09,foil,,,,,
maybe,1,Settle the Wreckage,XLN,foil,,,,,
main,1,Sol Ring,MPS,foil,,,,,
main,3,Swamp,ZNR,foil,,,,,
main,1,Swords to Plowshares,STA,,,,,,
main,1,Sylvan Library,CMA,foil,,,,,
main,1,"Tamiyo, Field Researcher",SLD,foil,,,,,
main,1,"Tamiyo, the Moon Sage",RNAMED,foil,,,,,
main,1,Teferi's Protection,STA,,,,,,
main,1,"Teferi, Hero of Dominaria",GRNMED,foil,,,,,
main,1,"Teferi, Master of Time",M21,foil,,,,,
main,1,"Teferi, Temporal Archmage",MYS1,,,,,,
maybe,1,"Teferi, Time Raveler",SLD,foil,,,,,
maybe,1,Tezzeret the Seeker,WARMED,foil,,,,,
main,1,The Chain Veil,M15,,,,,,
main,1,The Elderspell,WAR,foil,,,,,
main,1,Toxic Deluge,2XM,foil,,,,,
main,1,Tropical Island,3ED,,,,,,
main,1,Tundra,3ED,,,,,,
main,1,"Ugin, the Spirit Dragon",WARMED,foil,,,,,
main,1,Underground Sea,3ED,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",V12,foil,,,,,
main,1,Vampiric Tutor,PSG,foil,,,,,
main,1,Verdant Catacombs,MH2,,,,,,
main,1,Voidslime,SLD,,,,,,
main,1,"Vorinclex, Monstrous Raider",KHM,,,,,,
main,1,Vraska the Unseen,C19,,,,,,
main,1,"Vraska, Golgari Queen",SLD,foil,,,,,
main,1,Windswept Heath,KTK,,,,,,
main,1,Wooded Foothills,KTK,,,,,,
maybe,1,"Yavimaya, Cradle of Growth",MH2,foil,,,,,
main,1,Yawgmoth's Will,000,foil,,,,,
main,1,Zagoth Triome,IKO,,,,,,
