Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Acidic Soil,,,,,,,
main,1,Aggravated Assault,,,,,,,
maybe,1,Ancient Tomb,,,,,,,
main,1,Arcane Signet,,,,,,,
maybe,1,Arcbond,,,,,,,
main,1,Blasphemous Act,,,,,,,
maybe,1,Bloodfire Colossus,,,,,,,
main,1,Bolt Bend,,,,,,,
main,1,Breath of Darigaaz,,,,,,,
maybe,1,Buried Ruin,,,,,,,
main,1,Chandra's Ignition,,,,,,,
maybe,1,"Chandra, Acolyte of Flame",,,,,,,
main,1,"Chandra, Torch of Defiance",KLD,,,,,,
main,1,Chaos Warp,,,,,,,
main,1,Comet Storm,,,,,,,
maybe,1,Command Beacon,,,,,,,
main,1,Commune with Lava,,,,,,,
main,1,Cryptolith Fragment,,,,,,,
main,1,Darksteel Plate,,,,,,,
main,1,Deflecting Swat,,,,,,,
main,1,Desert of the Fervent,,,,,,,
main,1,Dockside Extortionist,,,,,,,
maybe,1,Electrodominance,,,,,,,
main,1,Embercleave,,,,,,,
main,1,Endless Atlas,,,,,,,
maybe,1,Everflowing Chalice,,,,,,,
maybe,1,Expedition Map,,,,,,,
main,1,Fanatic of Mogis,,,,,,,
main,1,Fellwar Stone,,,,,,,
main,1,Field of Ruin,,,,,,,
main,1,Fiery Confluence,,,,,,,
side,1,Fiery Emancipation,,,,,,,
maybe,1,Finale of Promise,,,,,,,
main,1,Firebrand Archer,,,,,,,
main,1,Flame Rift,NMS,,,,,,
main,1,Flamebreak,,,,,,,
maybe,1,Fork,,,,,,,
main,1,Generator Servant,,,,,,,
main,1,Glint-Horn Buccaneer,,,,,,,
main,1,"Grenzo, Havoc Raiser",,,,,,,
main,1,Guttersnipe,,,,,,,
main,1,Hammer of Nazahn,,,,,,,
main,1,Heartless Hidetsugu,,,,,,,
main,1,Homeward Path,,,,,,,
main,1,Humble Defector,,,,,,,
main,1,Ignite the Future,,,,,,,
maybe,1,Inspiring Statuary,,,,,,,
main,1,Jaya's Immolating Inferno,,,,,,,
side,1,Jeska's Will,,,,,,,
main,1,Khorvath's Fury,,,,,,,
main,1,Knollspine Dragon,,,,,,,
maybe,1,"Kozilek, Butcher of Truth",,,,,,,
side,1,Leyline Tyrant,,,,,,,
maybe,1,Light Up the Stage,,,,,,,
main,1,Lightning Greaves,,,,,,,
maybe,1,Loreseeker's Stone,,,,,,,
side,1,Magmatic Channeler,,,,,,,
main,1,Magus of the Wheel,,,,,,,
main,1,Mana Geyser,,,,,,,
main,1,Mana Vault,,,,,,,
main,1,Mind Stone,,,,,,,
maybe,1,Mirage Mirror,,,,,,,
main,1,Molten Disaster,,,,,,,
main,26,Mountain,,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,"Neheb, Dreadhorde Champion",,,,,,,
main,1,"Neheb, the Eternal",,foil,,,,,True
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Outpost Siege,,,,,,,
maybe,1,Past in Flames,,,,,,,
main,1,Price of Progress,,,,,,,
maybe,1,Prophetic Flamespeaker,,,,,,,
main,1,Pyrohemia,,,,,,,
maybe,1,Pyromancer's Goggles,,,,,,,
main,1,Quest for Pure Flame,,,,,,,
main,1,Ramunap Ruins,,,,,,,
maybe,1,Reiterate,,,,,,,
maybe,1,Repercussion,,,,,,,
maybe,1,Reverberate,,,,,,,
main,1,Rolling Earthquake,,,,,,,
main,1,Ruby Medallion,,,,,,,
main,1,Sandstone Oracle,,,,,,,
side,1,Satyr Firedancer,,,,,,,
maybe,1,Satyr Firedancer,,,,,,,
maybe,1,Savage Beating,,,,,,,
main,1,Scavenger Grounds,,,,,,,
main,1,Seething Song,,,,,,,
main,1,Seize the Day,,,,,,,
side,1,Shatterskull Smashing,,,,,,,
maybe,1,Sizzle,,,,,,,
main,1,Slagstorm,,,,,,,
main,1,Sol Ring,,,,,,,
maybe,1,Stormbreath Dragon,,,,,,,
maybe,1,Strionic Resonator,,,,,,,
main,1,Strip Mine,,,,,,,
maybe,1,Sunbird's Invocation,,,,,,,
main,1,Swiftfoot Boots,,,,,,,
main,1,Sword of Feast and Famine,,,,,,,
main,1,Sword of Fire and Ice,,,,,,,
maybe,1,Sword of the Animist,,,,,,,
maybe,1,Sword of War and Peace,,,,,,,
maybe,1,Tectonic Edge,,,,,,,
main,1,Tectonic Giant,,,,,,,
main,1,Thespian's Stage,,,,,,,
main,1,Tome of Legends,,,,,,,
main,1,"Torbran, Thane of Red Fell",,,,,,,
maybe,1,Tower of Fortunes,,,,,,,
maybe,1,Uba Mask,,,,,,,
main,1,"Ugin, the Ineffable",,,,,,,
main,1,Underworld Breach,,,,,,,
maybe,1,Unstable Obelisk,,,,,,,
side,1,Valakut Awakening,,,,,,,
side,1,Valakut Exploration,,,,,,,
main,1,"Valakut, the Molten Pinnacle",,,,,,,
main,1,Vandalblast,,,,,,,
maybe,1,Viashino Heretic,,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
main,1,Wheel of Fortune,,,,,,,
side,1,Wheel of Misfortune,,,,,,,
