Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Arcane Lighthouse,C14,,,,,,
main,1,Arcane Signet,CMR,foil,,,,,
main,1,Archetype of Imagination,C18,,,,,,
main,1,Archmage's Charm,H1R,foil,,,,,
main,1,Buried Ruin,2XM,foil,,,,,
main,1,Captain's Claws,OGW,foil,,,,,
main,1,Colossal Whale,000,foil,,,,,
main,1,Commander's Insight,C21,,,,,,
main,1,Corrupted Conscience,MBS,foil,,,,,
main,1,Counterspell,CMR,foil,,,,,
main,1,Cyclonic Rift,C14,,,,,,
main,1,Darksteel Colossus,SLD,foil,,,,,
main,1,Detection Tower,M19,foil,,,,,
main,1,Dig Through Time,000,foil,,,,,
main,1,Dramatic Reversal,KLD,foil,,,,,
main,1,Everflowing Chalice,2XM,foil,,,,,
main,1,Expedition Map,2XM,foil,,,,,
main,1,Fabled Passage,000,foil,,,,,
main,1,Forbid,AKHMPS,foil,,,,,
main,1,Force of Will,EMA,,,,,,
main,1,Future Sight,MH1,foil,,,,,
main,1,Genesis Chamber,BBD,foil,,,,,
main,1,Ghost Quarter,ISD,foil,,,,,
main,1,Guile,MM2,foil,,,,,
main,1,Halimar Depths,WWK,foil,,,,,
main,1,High Tide,FEM,,,,,,
main,1,Imprisoned in the Moon,EMN,foil,,,,,
main,1,Inkwell Leviathan,GRV,foil,,,,,
main,17,Island,THB,,,,,,
main,1,Isochron Scepter,EMA,,,,,,
main,1,"Jalira, Master Polymorphist",M15,,,,,,True
main,1,Karn Liberated,2XM,foil,,,,,
main,1,Lazotep Plating,WAR,foil,,,,,
main,1,Lightning Greaves,C15,foil,True,,,,
main,1,Maze of Ith,2XM,foil,,,,,
main,1,"Mikokoro, Center of the Sea",A25,foil,,,,,
main,1,Mimic Vat,SOM,foil,,,,,
main,1,"Minamo, School at Water's Edge",MYSTOR,foil,,,,,
main,1,Mind Stone,IMA,foil,,,,,
main,1,Mirage Mirror,HOU,foil,,,,,
main,1,Mirrodin Besieged,MH1,foil,,,,,
main,1,Mordenkainen,AFR,foil,,,,,
main,1,Muddle the Mixture,RAV,,,,,,
main,1,Myriad Landscape,CMR,foil,,,,,
main,1,Nadir Kraken,THB,foil,,,,,
main,1,Negate,STA,foil,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,Pathrazer of Ulamog,ROE,foil,,,,,
main,1,Perplexing Chimera,BNG,foil,,,,,
main,1,Platinum Angel,M10,,,,,,
main,1,Pongify,2XM,foil,,,,,
main,1,Proteus Staff,MRD,,,,,,
main,1,Reality Shift,000,,,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Rhystic Study,PCY,,,,,,
main,1,Rogue's Passage,ORI,foil,,,,,
main,1,Sapphire Medallion,C14,,,,,,
main,1,"Sarpadian Empires, Vol. VII",TSP,foil,,,,,
main,1,Scourge of Fleets,000,foil,,,,,
main,1,Scroll Rack,CMR,,,,,,
main,1,Sensei's Divining Top,EMA,,,,,,
main,1,Sol Ring,CMR,,,,,,
main,1,Solemn Simulacrum,M21,foil,,,,,
main,1,Sphinx of the Second Sun,CMR,,,,,,
main,1,Staff of Domination,CMR,foil,,,,,
main,1,Stormtide Leviathan,M15,foil,,,,,
main,1,Summoner's Bane,ZEN,foil,,,,,
main,1,Swiftfoot Boots,CMR,,,,,,
main,1,"Talrand, Sky Summoner",M13,foil,,,,,
main,1,"Tezzeret, Artifice Master",M19,foil,,,,,
main,1,Thought Vessel,CMR,foil,,,,,
main,1,Thousand-Year Elixir,CM1,,,,,,
main,1,Tolaria West,TSR,foil,,,,,
main,1,Trading Post,M14,foil,,,,,
main,1,Treasure Vault,AFR,,,,,,
main,1,"Ugin, the Spirit Dragon",M21,foil,,,,,
main,1,Ulamog's Crusher,MM2,foil,,,,,
main,1,Urza's Saga,MH2,,,,,,
main,1,Vesuva,TSR,,,,,,
main,1,War Room,CMR,foil,,,,,
main,1,Wayfarer's Bauble,MM2,foil,,,,,
main,1,Wonder,MH2,foil,,,,,
main,1,Wurmcoil Engine,000,foil,,,,,
main,1,Zoetic Cavern,A25,foil,,,,,
