Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,2XM,,,,,,
main,1,Admiral's Order,RIX,,,,,,
main,1,Ancestral Vision,TSR,,,,,,
main,1,Arcane Denial,CMR,,,,,,
main,1,Arcane Signet,C21,,,,,,
main,1,Archmage Ascension,ZEN,,,,,,
maybe,1,Archmage Ascension,ZEN,,,,,,
main,1,Balefire Dragon,UMA,,,,,,
main,1,Body Double,ARENA,,,,,,
main,1,Bond of Insight,WAR,,,,,,
main,1,Cancel,M21,,,,,,
main,1,Cascade Bluffs,2XM,,,,,,
maybe,1,Cascade Bluffs,2XM,,,,,,
main,1,Chaos Warp,STA,,,,,,
main,1,Command Tower,C21,,,,,,
maybe,1,Command Tower,C21,,,,,,
main,1,Counterspell,MH2,,,,,,
main,1,Cyclonic Rift,2XM,,,,,,
main,1,Desertion,CN2,,,,,,
main,1,Disallow,AER,,,,,,
main,1,Dissolve,IMA,,,,,,
main,1,Docent of Perfection,EMN,,,,,,
main,1,"Drakuseth, Maw of Flames",M20,,,,,,
main,1,Drawn from Dreams,M20,,,,,,
main,1,Essence Scatter,IKO,,,,,,
main,1,Fiery Emancipation,M21,,,,,,
main,1,Gamble,SLD,,,,,,
main,1,Gratuitous Violence,CN2,,,,,,
main,1,Guile,MM2,,,,,,
main,1,Insurrection,CMD,,,,,,
main,16,Island,AFR,,,,,,
maybe,17,Island,AFR,,,,,,
main,1,Izzet Boilerworks,C21,,,,,,
maybe,1,Izzet Boilerworks,C21,,,,,,
main,1,"Jin-Gitaxias, Core Augur",IMA,,,,,,
main,1,Keeper of Keys,CN2,,,,,,
main,1,Kefnet's Last Word,HOU,,,,,,
main,1,"Keranos, God of Storms",SLD,foil,,,,,True
main,1,Long-Term Plans,SCG,,,,,,
main,1,Mass Manipulation,RNA,,,,,,
main,1,Merchant Scroll,8ED,,,,,,
main,1,Mercurial Chemister,C20,,,,,,
maybe,1,Mercurial Chemister,C20,,,,,,
main,1,Metallurgic Summonings,C21,,,,,,
main,1,Mirage Mirror,HOU,,,,,,
maybe,1,Mirage Mirror,HOU,,,,,,
main,16,Mountain,AFR,,,,,,
maybe,16,Mountain,AFR,,,,,,
main,1,Myriad Landscape,C21,,,,,,
maybe,1,Myriad Landscape,C21,,,,,,
main,1,Mystic Confluence,TSR,,,,,,
main,1,Mystical Tutor,SS1,,,,,,
main,1,"Niv-Mizzet, Parun",GRN,,,,,,
maybe,1,"Niv-Mizzet, Parun",GRN,,,,,,
main,1,Planar Bridge,AER,,,,,,
main,1,Primal Amulet,XLN,,,,,,
main,1,Prismatic Vista,ZNE,,,,,,
maybe,1,Prismatic Vista,ZNE,,,,,,
main,1,Rhystic Study,JMP,,,,,,
main,1,Ring of Three Wishes,M14,,,,,,
main,1,Roil Elemental,SLD,,,,,,
main,1,Role Reversal,WAR,,,,,,
main,1,Shivan Reef,C21,,,,,,
maybe,1,Shivan Reef,C21,,,,,,
main,1,Shreds of Sanity,EMN,,,,,,
main,1,Sol Ring,C21,,,,,,
main,1,Spirebluff Canal,KLD,,,,,,
maybe,1,Spirebluff Canal,KLD,,,,,,
main,1,Star Compass,IMA,,,,,,
main,1,Steam Vents,SLD,,,,,,
maybe,1,Steam Vents,SLD,,,,,,
main,1,Stroke of Genius,C15,,,,,,
main,1,Sulfur Falls,DOM,,,,,,
maybe,1,Sulfur Falls,DOM,,,,,,
main,1,"Sun Quan, Lord of Wu",V11,foil,,,,,
main,1,"Talrand, Sky Summoner",C21,,,,,,
main,1,Thassa's Intervention,THB,,,,,,
main,1,The Immortal Sun,RIX,,,,,,
main,1,The Locust God,C20,,,,,,
maybe,1,The Locust God,C20,,,,,,
main,1,Thought Vessel,CMR,,,,,,
maybe,1,Thought Vessel,CMR,,,,,,
main,1,"Torbran, Thane of Red Fell",ELD,,,,,,
main,1,Tromokratis,CMR,,,,,,
main,1,Tyrant's Familiar,CM2,,,,,,
main,1,Willbreaker,ORI,,,,,,
main,1,Worn Powerstone,C18,,,,,,
