Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Arachnus Spinner,MM3,,,,,,
main,1,Arachnus Web,MM3,,,,,,
main,1,Arasta of the Endless Web,,foil,,,,,True
main,1,Argentum Armor,SOM,,,,,,
main,1,Beast Within,MYS1,,,,,,
main,1,Beastmaster Ascension,MYS1,,,,,,
main,1,Blightwidow,MBS,,,,,,
main,1,Bow of Nylea,THS,,,,,,
main,1,Burnished Hart,C15,,,,,,
main,1,Chainweb Aracnir,THB,foil,,,,,
main,1,Collective Unconscious,C14,,,,,,
main,1,Court of Bounty,CMR,,,,,,
main,1,Cultivate,C18,,,,,,
main,1,Deadly Recluse,M14,,,,,,
main,1,Desert of the Indomitable,HOU,,,,,,
main,1,Eaten by Spiders,AVR,,,,,,
main,1,Emerald Medallion,C14,,,,,,
main,1,Fog,EMA,,,,,,
main,35,Forest,IKO,foil,,,,,
main,1,Giant Spider,M14,,,,,,
main,1,Gleeful Sabotage,MYSTOR,foil,,,,,
main,1,Gloomwidow,SOI,foil,,,,,
main,1,Gloomwidow's Feast,SHM,,,,,,
main,1,Glowstone Recluse,IKO,,,,,,
main,1,Gnottvold Recluse,KHM,,,,,,
main,1,Gorgon's Head,BNG,,,,,,
main,1,Growing Rites of Itlimoc,XLN,,,,,,
main,1,Hatchery Spider,GRN,,,,,,
main,1,Haunted Cloak,CMR,,,,,,
main,1,Heroic Intervention,AER,,,,,,
main,1,Kessig Recluse,DKA,foil,,,,,
main,1,Mammoth Spider,M20,,,,,,
main,1,Manglehorn,AKH,,,,,,
main,1,Moss Diamond,CMR,,,,,,
main,1,Mystic Repeal,THB,,,,,,
main,1,Netcaster Spider,M15,,,,,,
main,1,Ohran Frostfang,C19,,,,,,
main,1,Overwhelming Stampede,C15,,,,,,
main,1,Parallel Lives,ISD,,,,,,
main,1,Penumbra Spider,MMA,,,,,,
main,1,Peregrination,BNG,,,,,,
main,1,Primal Might,M21,,,,,,
main,1,Primal Vigor,C13,,,,,,
main,1,Renowned Weaver,JOU,,,,,,
main,1,Second Harvest,C19,,,,,,
main,1,Sentinel Spider,CMR,,,,,,
main,1,Silklash Spider,M13,,,,,,
main,1,Snarespinner,WAR,,,,,,
main,1,Sol Ring,C19,,,,,,
main,1,Somberwald Spider,ISD,,,,,,
main,1,Sporeweb Weaver,M21,,,,,,
main,1,Stingerfling Spider,CMR,foil,,,,,
main,1,Sweet-Gum Recluse,CMR,,,,,,
main,1,Swift Spinner,EMN,,,,,,
main,1,Sylvan Library,EMA,,,,,,
main,1,Terrifying Presence,DDL,,,,,,
main,1,Turntimber Symbiosis,ZNR,,,,,,
main,1,Twin-Silk Spider,MH1,,,,,,
main,1,Vastwood Fortification,ZNR,,,,,,
main,1,Vigor,BBD,,,,,,
main,1,"Vivien, Arkbow Ranger",M20,,,,,,
main,1,"Vivien, Nature's Avenger",M20,foil,,,,,
main,1,Watcher in the Web,SOI,,,,,,
main,1,Webweaver Changeling,MH1,,,,,,
main,1,Whispersilk Cloak,C16,,,,,,
main,1,Worn Powerstone,C14,,,,,,
