Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Alms Collector,,,,,,,
main,1,Angel of Jubilation,,,,,,,
main,1,Aura Shards,,,,,,,
main,1,Aven Mindcensor,,,,,,,
main,1,Beast Whisperer,,,,,,,
main,1,Beast Within,,,,,,,
main,1,Blind Obedience,,,,,,,
main,1,Blossoming Sands,,,,,,,
main,1,Bountiful Promenade,,,,,,,
main,1,Branchloft Pathway,,,,,,,
main,1,"Bruna, the Fading Light",,,,,,,
main,1,Canopy Vista,,,,,,,
main,1,Cataclysmic Gearhulk,,,,,,,
main,1,Collector Ouphe,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Congregation at Dawn,,,,,,,
main,1,Containment Priest,,,,,,,
main,1,Council's Judgment,,,,,,,
main,1,Dust Bowl,,,,,,,
main,1,Eight-and-a-Half-Tails,,,,,,,
main,1,Eladamri's Call,,,,,,,
main,1,"Elesh Norn, Grand Cenobite",,,,,,,
main,1,Esper Sentinel,,,,,,,
main,1,Eternal Witness,,,,,,,
main,1,Fabled Passage,,,,,,,
main,1,Fauna Shaman,,,,,,,
main,1,Field of the Dead,,,,,,,
main,1,Flagstones of Trokair,,,,,,,
main,4,Forest,,,,,,,
main,1,Fortified Village,,,,,,,
main,1,Gaddock Teeg,,,,,,,True
main,1,Gavony Township,,,,,,,
main,1,Ghostly Prison,,,,,,,
main,1,Gideon Blackblade,,,,,,,
main,1,Gideon of the Trials,,,,,,,
main,1,"Gisela, the Broken Blade",,,,,,,
main,1,God-Eternal Oketra,,,,,,,
main,1,God-Eternal Rhonas,,,,,,,
main,1,Ground Seal,,,,,,,
main,1,Guardian of Faith,,,,,,,
main,1,Heroic Intervention,,,,,,,
main,1,Hunting Grounds,,,,,,,
main,1,Hushbringer,,,,,,,
main,1,Ice Floe,,,,,,,
main,1,Intrepid Adversary,,,,,,,
main,1,"Karametra, God of Harvests",,,,,,,
main,1,"Kataki, War's Wage",,,,,,,
main,1,Kor Haven,,,,,,,
main,1,Krosan Grip,,,,,,,
main,1,Lifecrafter's Bestiary,,,,,,,
main,1,Lightning Greaves,,,,,,,
main,1,"Linvala, Keeper of Silence",,,,,,,
main,1,Lotus Field,,,,,,,
main,1,Loxodon Gatekeeper,,,,,,,
main,1,Luminous Broodmoth,,,,,,,
main,1,"Mangara, the Diplomat",,,,,,,
main,1,Maze of Ith,,,,,,,
main,1,"Mikokoro, Center of the Sea",,,,,,,
main,1,"Mirri, Weatherlight Duelist",,,,,,,
main,1,Misty Rainforest,,,,,,,
main,1,Paladin Class,,,,,,,
main,1,Path to Exile,,,,,,,
main,4,Plains,,,,,,,
main,1,Razorverge Thicket,,,,,,,
main,1,Runic Armasaur,,,,,,,
main,1,Saffi Eriksdotter,,,,,,,
main,1,Scattered Groves,,,,,,,
main,1,Scavenging Ooze,,,,,,,
main,1,Selfless Spirit,,,,,,,
main,1,"Selvala, Explorer Returned",,,,,,,
main,1,"Shalai, Voice of Plenty",,,,,,,
main,1,"Sigarda, Host of Herons",,,,,,,
main,1,Slaughter the Strong,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Song of the Dryads,,,,,,,
main,1,Spelltithe Enforcer,,,,,,,
main,1,Stirring Wildwood,,,,,,,
main,1,Strict Proctor,,,,,,,
main,1,Sun Titan,,,,,,,
main,1,Sunpetal Grove,,,,,,,
main,1,Suppression Field,,,,,,,
main,1,Swords to Plowshares,,,,,,,
main,1,Temple Garden,,,,,,,
main,1,Temple of Plenty,,,,,,,
main,1,"Thalia, Heretic Cathar",,,,,,,
main,1,Thunderfoot Baloth,,,,,,,
main,1,Tithe Taker,,,,,,,
main,1,Vigor,,,,,,,
main,1,Vizier of the Menagerie,,,,,,,
main,1,Voice of Resurgence,,,,,,,
main,1,Windborn Muse,,,,,,,
main,1,Winding Canyons,,,,,,,
main,1,Wooded Bastion,,,,,,,
main,1,"Yavimaya, Cradle of Growth",,,,,,,
