Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Elite,C16,,,,,,
main,1,"Adeliz, the Cinder Wind",DOM,,,,,,
main,1,Banefire,M19,,,,,,
main,1,Blasphemous Act,ISD,,,,,,
main,1,Braingeyser,3ED,,,,,,
main,1,Brainstorm,A25,,,,,,
main,1,Browbeat,A25,,,,,,
main,1,Burnished Hart,CMR,,,,,,
main,1,Castle Vantress,ELD,,,,,,
main,1,Chromatic Lantern,C16,,,,,,
main,1,Coastal Piracy,JMP,,,,,,
main,1,Collective Defiance,EMN,,,,,,
main,1,Command Tower,C19,,,,,,
main,1,Desolate Lighthouse,AVR,,,,,,
main,1,Devil's Play,ISD,,,,,,
main,1,Disruptive Student,USG,,,,,,
main,1,Doublecast,M19,,,,,,
main,1,Drawn from Dreams,M20,,,,,,
main,1,Dream Cache,TMP,,,,,,
main,1,Electrolyze,GPT,,,,,,
main,1,Erratic Cyclops,GRN,,,,,,
main,1,Faithless Looting,DKA,,,,,,
main,1,Frantic Search,UMA,,,,,,
main,1,Goblin Electromancer,RTR,,,,,,
main,1,Guttersnipe,RTR,,,,,,
main,1,Halimar Depths,WWK,,,,,,
main,1,Incendiary Command,LRW,,,,,,
main,1,Information Dealer,ONS,,,,,,
main,1,Irencrag Pyromancer,ELD,,,,,,
main,7,Island,4ED,,,,,,
main,1,Izzet Boilerworks,GPT,,,,,,
main,1,Izzet Locket,GRN,,,,,,
main,1,Izzet Signet,GPT,,,,,,
main,1,"Jori En, Ruin Diver",OGW,,,,,,
main,1,Lightning Bolt,3ED,,,,,,
main,1,Lunar Mystic,AVR,,,,,,
main,1,Madblind Mountain,SHM,,,,,,
main,1,Magma Jet,THS,,,,,,
main,1,Maze of Ith,DRK,,,,,,
main,1,Memorial to Genius,DOM,,,,,,
main,1,Mizzium Mortars,RTR,,,,,,
main,1,Mizzix of the Izmagnus,C15,,,,,,
main,1,Mizzix's Mastery,C15,,,,,,
main,9,Mountain,4ED,,,,,,
main,1,Mystical Tutor,MIR,,,,,,
main,1,Nameless One,ONS,,,,,,
maybe,1,"Niv-Mizzet, Dracogenius",C17,,,,,,
main,1,"Niv-Mizzet, Parun",GRN,,,,,,
main,1,"Niv-Mizzet, the Firemind",C20,,,,,,True
main,1,Noble Benefactor,WTH,,,,,,
main,1,Obsessive Search,TOR,,,,,,
main,1,Opt,INV,,,,,,
main,1,Past in Flames,ISD,,,,,,
main,1,Patron Wizard,ODY,,,,,,
main,1,Ponder,M12,,,,,,
main,1,Preordain,C15,,,,,,
main,1,Prodigal Pyromancer,DPA,,,,,,
main,1,"Ral, Izzet Viceroy",GRN,,,,,,
main,1,Red Sun's Zenith,MBS,,,,,,
maybe,1,Reforge the Soul,AVR,,,,,,
main,1,Repulse,MYS1,,,,,,
main,1,Riptide Director,LGN,,,,,,
main,1,Riptide Laboratory,ONS,,,,,,
main,1,Risk Factor,GRN,,,,,,
main,1,Rite of Replication,C15,,,,,,
main,1,Ruby Medallion,C14,,,,,,
main,1,Searing Blood,BNG,,,,,,
main,1,Sensei's Divining Top,CHK,,,,,,
main,1,Shivan Reef,DDU,,,,,,
main,1,Skullcrack,GTC,,,,,,
main,1,Smash to Smithereens,ORI,,,,,,
main,1,Snapcaster Mage,ISD,,,,,,
main,1,Sol Ring,C17,,,,,,
main,1,Spellseeker,BBD,,,,,,
main,1,Spite of Mogis,JOU,,,,,,
main,1,Steam Vents,GRN,,,,,,
main,1,Stormchaser Mage,OGW,,,,,,
main,1,"Talrand, Sky Summoner",UMA,,,,,,
main,1,Temple of Epiphany,M20,,,,,,
main,1,The Royal Scions,ELD,,,,,,
main,1,Thriving Bluff,JMP,,,,,,
main,1,Thriving Isle,JMP,,,,,,
main,1,Thunderous Wrath,AVR,,,,,,
main,1,Trinket Mage,5DN,,,,,,
main,1,Vandalblast,RTR,,,,,,
main,1,Volcanic Island,3ED,,,,,,
main,1,Wee Dragonauts,GRN,,,,,,
main,1,Wizard's Lightning,DOM,,,,,,
