Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aether Spellbomb,MRD,,,,,,
main,1,Ancient Tomb,TMP,,,,,,
main,1,Ashnod's Altar,5ED,,,,,,
main,1,Basalt Monolith,C13,,,,,,
main,1,Blasphemous Act,ISD,,,,,,
maybe,1,Blood Moon,9ED,,,,,,
main,1,"Boseiju, Who Shelters All",CHK,,,,,,
main,1,Buried Ruin,M12,,,,,,
main,1,Cascade Bluffs,EVE,,,,,,
maybe,1,Chain Reaction,C18,,,,,,
main,1,"Chandra, Torch of Defiance",KLD,,,,,,
main,1,Chaos Warp,CMD,,,,,,
main,1,Chief Engineer,M15,,,,,,
main,1,Chromatic Star,TSP,,,,,,
main,1,Codex Shredder,RTR,,,,,,
main,1,Command Beacon,CMR,,,,,,
main,1,Command Tower,C15,,,,,,
main,1,Consecrated Sphinx,AKHMPS,foil,,,,,
main,1,Crystal Vein,C14,,,,,,
main,1,Curse of the Swine,THS,,,,,,
maybe,1,Cursed Totem,MIR,,,,,,
main,1,Cyclonic Rift,RTR,,,,,,
main,1,"Daretti, Scrap Savant",C14,,,,,,
main,1,Darksteel Citadel,DST,,,,,,
main,1,Darksteel Forge,DST,,,,,,
maybe,1,Desolate Lighthouse,AVR,,,,,,
main,1,Dross Scorpion,MRD,,,,,,
main,1,Etherium Sculptor,ALA,,,,,,
main,1,Everflowing Chalice,WWK,,,,,,
main,1,Fabricate,M10,,,,,,
main,1,Fellwar Stone,C15,,,,,,
main,1,Ghirapur Orrery,KLD,,,,,,
main,1,Gilded Lotus,DOM,,,,,,
main,1,Glimmervoid,MRD,,,,,,
main,1,Goblin Engineer,MH1,,,,,,
main,1,Goblin Welder,C14,,,,,,
main,1,Great Furnace,MRD,,,,,,
main,1,Hangarback Walker,ORI,,,,,,
main,1,Ichor Wellspring,MBS,,,,,,
main,1,Inventors' Fair,KLD,,,,,,
main,8,Island,KLD,,,,,,
main,1,Izzet Boilerworks,GPT,,,,,,
main,1,Izzet Signet,GPT,,,,,,
main,1,"Jhoira, Weatherlight Captain",DOM,,,,,,
main,1,Junk Diver,C14,,,,,,
maybe,1,"Karn, the Great Creator",WAR,,,,,,
main,1,Krark-Clan Ironworks,5DN,,,,,,
main,1,Kuldotha Forgemaster,SOM,,,,,,
main,1,Mana Vault,5ED,,,,,,
maybe,1,Memnarch,DST,,,,,,
main,1,Memory Jar,ULG,,,,,,
maybe,1,Mimic Vat,SOM,,,,,,
main,1,Mind Stone,C14,,,,,,
main,8,Mountain,KLD,,,,,,
main,1,Mycosynth Lattice,DST,,,,,,
main,1,Myr Battlesphere,SOM,,,,,,
main,1,Myr Retriever,MRD,,,,,,
main,1,Nevinyrral's Disk,C13,,,,,,
main,1,Nim Deathmantle,SOM,,,,,,
main,1,Oblivion Stone,MRD,,,,,,
maybe,1,Paradox Engine,AER,,,,,,
main,1,Pentavus,C14,,,,,,
main,1,Pithing Needle,SOK,,,,,,
main,1,Pyrite Spellbomb,MRD,,,,,,
main,1,Reliquary Tower,CON,,,,,,
main,1,Reshape,DST,,,,,,
maybe,1,Retract,DST,,,,,,
main,1,Rhystic Study,PCY,,,,,,
maybe,1,Rings of Brighthearth,CMR,,,,,,
main,1,Ruin Grinder,C21,,,,,,
main,1,Saheeli's Directive,C18,,,,,,
main,1,"Saheeli, the Gifted",C18,foil,,,,,True
main,1,Scrap Trawler,AER,,,,,,
main,1,Sea Gate Wreckage,OGW,,,,,,
main,1,Seat of the Synod,MRD,,,,,,
main,1,Sensei's Divining Top,CHK,,,,,,
main,1,Shivan Reef,M15,,,,,,
main,1,Skullclamp,DST,,,,,,
main,1,"Slobad, Goblin Tinkerer",DST,,,,,,
main,1,Sol Ring,C13,,,,,,
main,1,Spine of Ish Sah,MBS,,,,,,
main,1,Spirebluff Canal,KLD,,,,,,
maybe,1,Star of Extinction,XLN,,,,,,
main,1,Steam Vents,RTR,,,,,,
maybe,1,Steel Hellkite,SOM,,,,,,
main,1,Storm the Vault,RIX,,,,,,
main,1,Stroke of Genius,C14,,,,,,
main,1,Sulfur Falls,ISD,,,,,,
maybe,1,Synod Sanctum,MRD,,,,,,
main,1,Thopter Assembly,MBS,,,,,,
main,1,Thought Vessel,C15,,,,,,
main,1,Thran Dynamo,C14,,,,,,
main,1,Time Spiral,USG,,,,,,
maybe,1,Treasure Nabber,C18,,,,,,
main,1,Vandalblast,RTR,,,,,,
main,1,Voltaic Key,M11,,,,,,
main,1,Wayfarer's Bauble,5DN,,,,,,
main,1,Wheel of Fate,TSP,,,,,,
main,1,Whir of Invention,AER,,,,,,
main,1,Workshop Assistant,KLD,,,,,,
