Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Archon of Valor's Reach,,,,,,,
main,1,Austere Command,,,,,,,
main,1,"Avacyn, Angel of Hope",,,,,,,
main,1,Avenger of Zendikar,,,,,,,
main,1,Balefire Dragon,,,,,,,
main,1,Battle Mammoth,,,,,,,
main,1,Beast Within,,,,,,,
main,1,Blighted Woodland,,,,,,,
main,1,Bonders' Enclave,,,,,,,
main,1,Canopy Vista,,,,,,,
main,1,Cavalier of Flame,,,,,,,
main,1,Cavalier of Thorns,,,,,,,
main,1,Chaos Warp,,,,,,,
main,1,Cinder Glade,,,,,,,
main,1,Cleansing Nova,,,,,,,
main,1,Clifftop Retreat,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Dismantling Wave,,,,,,,
main,1,Dragonlord Dromoka,,,,,,,
main,1,Elder Gargaroth,,,,,,,
main,1,Elemental Bond,,,,,,,
main,1,"Etali, Primal Storm",,,,,,,
main,1,Evolving Wilds,,,,,,,
main,1,Fabled Passage,,,,,,,
main,1,Farseek,,,,,,,
main,1,Force of Vigor,,,,,,,
main,4,Forest,,,,,,,
main,1,Garruk Wildspeaker,,,,,,,
main,1,Garruk's Uprising,,,,,,,
main,1,Generous Gift,,,,,,,
main,1,"Gisela, Blade of Goldnight",,,,,,,
main,1,Grasslands,,,,,,,
main,1,Greater Good,,,,,,,
main,1,Greenwarden of Murasa,,,,,,,
main,1,Homeward Path,,,,,,,
main,1,Inferno Titan,,,,,,,
main,1,Jungle Shrine,,,,,,,
main,1,Krosan Verge,,,,,,,
main,1,Lightning Greaves,,,,,,,
main,1,Mayael the Anima,,,,,,,True
main,4,Mountain,,,,,,,
main,1,Mountain Valley,,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,Naya Panorama,,,,,,,
main,1,"Nylea, God of the Hunt",,,,,,,
main,1,Oracle of Mul Daya,,,,,,,
main,1,Path to Exile,,,,,,,
main,4,Plains,,,,,,,
main,1,Prismatic Vista,,,,,,,
main,1,"Purphoros, God of the Forge",,,,,,,
main,1,Realms Uncharted,,,,,,,
main,1,Reflecting Pool,,,,,,,
main,1,Return of the Wildspeaker,,,,,,,
main,1,Rhonas the Indomitable,,,,,,,
main,1,Rings of Brighthearth,,,,,,,
main,1,Rishkar's Expertise,,,,,,,
main,1,Rootbound Crag,,,,,,,
main,1,Sacred Foundry,,,,,,,
main,1,Scattered Groves,,,,,,,
main,1,Scourge of Kher Ridges,,,,,,,
main,1,Scroll Rack,,,,,,,
main,1,Seedborn Muse,,,,,,,
main,1,Sensei's Divining Top,,,,,,,
main,1,Sheltered Thicket,,,,,,,
main,1,"Sigarda, Host of Herons",,,,,,,
main,1,Skyshroud Claim,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Stomping Ground,,,,,,,
main,1,Sun Titan,,,,,,,
main,1,Sunpetal Grove,,,,,,,
main,1,Swiftfoot Boots,,,,,,,
main,1,Swords to Plowshares,,,,,,,
main,1,Sylvan Library,,,,,,,
main,1,Sylvan Scrying,,,,,,,
main,1,Teferi's Protection,,,,,,,
main,1,Temple Garden,,,,,,,
main,1,Temple of the False God,,,,,,,
main,1,Terastodon,,,,,,,
main,1,Terramorphic Expanse,,,,,,,
main,1,Terror of the Peaks,,,,,,,
main,1,Three Visits,,,,,,,
main,1,"Titania, Protector of Argoth",,,,,,,
main,1,Tooth and Nail,,,,,,,
main,1,"Ulamog, the Infinite Gyre",,,,,,,
main,1,Vandalblast,,,,,,,
main,1,Void Winnower,,,,,,,
main,1,Wilderness Reclamation,,,,,,,
main,1,Woodfall Primus,,,,,,,
main,1,Worldly Tutor,,,,,,,
main,1,"Xenagos, God of Revels",,,,,,,
main,1,"Zacama, Primal Calamity",,,,,,,
