Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aggravated Assault,AKHMPS,foil,,,,,
main,1,Ancient Tomb,TMP,,,,,,
main,1,Arbor Elf,A25,foil,,,,,
main,1,Arid Mesa,MM3,,,,,,
acquire,1,Asceticism,,,,,,,
main,1,Bala Ged Recovery,ZNR,foil,,,,,
maybe,1,Balefire Dragon,ISD,,,,,,
maybe,1,Bane of Progress,CC1,foil,,,,,
acquire,1,Batterskull,,,,,,,
main,1,Beanstalk Giant,ELD,foil,,,,,
main,1,Beast Within,NPH,foil,,,,,
main,1,Berserk,CN2,foil,,,,,
main,1,Birds of Paradise,SLD,,,,,,
maybe,1,Birds of Paradise,,,,,,,
main,1,Blasphemous Act,CMR,foil,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
main,1,Bolt Bend,,foil,,,,,
main,1,Carnage Tyrant,XLN,foil,,,,,
main,1,Cavern of Souls,AVR,,,,,,
main,1,Chandra's Ignition,ORI,foil,,,,,
main,1,Chaos Warp,CMA,foil,,,,,
main,1,Command Tower,C15,,,,,,
main,1,Deflecting Swat,C20,,,,,,
main,1,Devoted Druid,UMA,foil,,,,,
acquire,1,Dosan the Falling Leaf,,,,,,,
main,1,Dragonborn Champion,AFC,,,,,,
main,1,Dryad Arbor,TSR,,,,,,
main,1,Elder Gargaroth,M21,foil,,,,,
main,1,Embercleave,ELD,foil,,,,,
main,1,Escape to the Wilds,ELD,foil,,,,,
main,1,Eternal Witness,SLD,,,,,,
main,1,Fabled Passage,ELD,,,,,,
main,1,Finale of Devastation,WAR,,,,,,
main,1,Fire-Lit Thicket,SHM,,,,,,
main,1,Force of Vigor,H1R,foil,,,,,
main,8,Forest,THB,foil,,,,,
main,1,Gamble,USG,,,,,,
main,1,"Godo, Bandit Warlord",CHK,foil,,,,,
acquire,1,"Godo, Bandit Warlord",,,,,,,
main,1,Greater Good,000,foil,,,,,
acquire,1,Greater Good,,,,,,,
main,1,Green Sun's Zenith,MBS,foil,,,,,
maybe,1,"Grothama, All-Devouring",BBD,foil,,,,,
maybe,1,Hellkite Charger,,,,,,,
maybe,1,Hellkite Tyrant,C16,,,,,,
acquire,1,"Homura, Human Ascendant",,,,,,,
main,1,Hunter's Insight,M12,foil,,,,,
main,1,"Ilharg, the Raze-Boar",WAR,foil,,,,,
main,1,Joraga Treespeaker,ROE,foil,,,,,
main,1,Kessig Wolf Run,V13,foil,,,,,
main,1,"Klauth, Unrivaled Ancient",AFC,foil,,,,,
maybe,1,"Kogla, the Titan Ape",IKO,foil,,,,,
main,1,"Kozilek, Butcher of Truth",MM2,foil,,,,,
main,1,Life's Legacy,M15,foil,,,,,
maybe,1,Lodestone Golem,,,,,,,
main,1,Lotus Cobra,000,foil,,,,,
main,1,Malignus,AVR,foil,,,,,
acquire,1,Mana Web,,,,,,,
main,1,Misty Rainforest,MH2,,,,,,
maybe,1,Momentous Fall,ROE,,,,,,
main,1,"Moraug, Fury of Akoum",ZNR,foil,,,,,
main,3,Mountain,THB,foil,,,,,
main,1,Nature's Claim,WWK,,,,,,
main,1,Nature's Lore,SLD,,,,,,
main,1,Nature's Will,CHK,,,,,,
main,1,"Neheb, Dreadhorde Champion",WAR,foil,,,,,
main,1,"Neheb, the Eternal",HOU,foil,,,,,
main,1,Noxious Revival,NPH,,,,,,
main,1,Old Gnawbone,AFR,foil,,,,,
main,1,Oracle of Mul Daya,ZEN,foil,,,,,
main,1,Prismatic Vista,MH1,,,,,,
main,1,Quartzwood Crasher,IKO,foil,,,,,
main,1,"Ragavan, Nimble Pilferer",MH2,foil,,,,,
main,1,Rancor,000,foil,,,,,
maybe,1,Ravenous Slime,,,,,,,
main,1,Reflecting Pool,CNS,,,,,,
main,1,Relentless Assault,7ED,foil,,,,,
main,1,Rishkar's Expertise,AER,foil,,,,,
main,1,Rockfall Vale,MID,foil,,,,,
main,1,Rootbound Crag,XLN,pre,,,,,
main,1,Savage Ventmaw,DTK,foil,,,,,
main,1,Scalding Tarn,ZEN,,,,,,
main,1,Scourge of the Throne,,foil,,,,,
main,1,Seize the Day,ODY,foil,,,,,
acquire,1,Seize the Day,,,,,,,
main,1,"Selvala, Heart of the Wilds",CN2,,,,,,
main,1,Shadowspear,THB,foil,,,,,
main,1,Sheltered Thicket,AKH,foil,,,,,
main,1,Sneak Attack,2XM,foil,,,,,
main,1,Sol Ring,CMR,foil,,,,,
main,1,Somberwald Sage,AVR,foil,,,,,
main,1,Stomping Ground,GPT,foil,,,,,
acquire,1,Sword of Light and Shadow,,,,,,,
main,1,Sylvan Library,EMA,foil,,,,,
main,1,Taiga,3ED,,,,,,
maybe,1,The Great Henge,,,,,,,
main,1,Time of Need,CHK,foil,,,,,
main,1,Turntimber Symbiosis,ZNR,foil,,,,,
main,1,Urza's Saga,MH2,foil,,,,,
main,1,Utopia Sprawl,A25,foil,,,,,
main,1,Veil of Summer,M20,,,,,,
main,1,Verdant Catacombs,MM3,,,,,,
main,1,Vines of Vastwood,ZEN,,,,,,
main,1,Wheel of Fortune,3ED,,,,,,
main,1,Wild Growth,2ED,,,,,,
main,1,Windswept Heath,KTK,,,,,,
main,1,Wooded Foothills,KTK,,,,,,
main,1,Worldly Tutor,MIR,,,,,,
main,1,"Xenagos, God of Revels",BNG,foil,,,,,True
main,1,Yavimaya Hollow,UDS,,,,,,
main,1,"Yavimaya, Cradle of Growth",MH2,foil,,,,,
