Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Acidic Slime,000,foil,,,,,
main,1,Akroma's Memorial,M13,,,,,,
main,1,All Is Dust,ROE,,,,,,
main,1,Arcane Lighthouse,C14,,,,,,
main,1,Archetype of Endurance,BNG,,,,,,
main,1,Asceticism,SOM,,,,,,
main,1,Avenger of Zendikar,DDP,foil,,,,,
main,1,Bala Ged Recovery,ZNR,,,,,,
main,1,Beast Within,NPH,,,,,,
main,1,Blightsteel Colossus,MBS,,,,,,
main,1,Bonders' Enclave,IKO,,,,,,
main,1,Castle Garenbrig,ELD,,,,,,
main,1,Craterhoof Behemoth,AVR,,,,,,
main,1,Cultivate,PC2,,,,,,
main,1,Defense of the Heart,ULG,,,,,,
main,1,Detection Tower,M19,,,,,,
main,1,Dryad Arbor,FUT,,,,,,
main,1,Duplicant,CMA,foil,,,,,
main,1,Eldrazi Conscription,ROE,,,,,,
main,1,Eldrazi Temple,DDP,,,,,,
main,1,Elvish Piper,10E,,,,,,
main,1,"Emrakul, the Promised End",EMN,,,,,,
main,1,Endless Atlas,C18,,,,,,
main,1,Eternal Witness,CMD,,,,,,
main,1,Eye of Ugin,WWK,,,,,,
main,1,Finale of Devastation,WAR,,,,,,
main,1,Force of Vigor,MH1,,,,,,
main,21,Forest,SLD,,,,,,
main,1,Gauntlet of Power,TSP,,,,,,
main,1,Genesis Wave,SOM,,,,,,
main,1,Green Sun's Zenith,MBS,,,,,,
main,1,Guardian Project,RNA,,,,,,
main,1,Harmonize,000,,,,,,
main,1,Helm of the Host,DOM,,,,,,
main,1,Homeward Path,CMD,,,,,,
main,1,It That Betrays,ROE,,,,,,
main,1,Karn Liberated,NPH,,,,,,
main,1,Kodama's Reach,CHK,,,,,,
main,1,"Kozilek, Butcher of Truth",ROE,,,,,,
main,1,"Kozilek, the Great Distortion",OGW,,,,,,
main,1,Lightning Greaves,CMD,,,,,,
main,1,Mana Reflection,SHM,,,,,,
main,1,Mind's Eye,CMA,foil,,,,,
main,1,Natural Order,VIS,,,,,,
main,1,Nature's Lore,DDD,,,,,,
main,1,Nissa's Pilgrimage,ORI,,,,,,
main,1,"Nissa, Vastwood Seer",ORI,,,,,,
main,1,Not of This World,ROE,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,"Nylea, Keen-Eyed",THB,,,,,,True
main,1,Oracle of Mul Daya,ZEN,,,,,,
main,1,Planar Bridge,AER,,,,,,
main,1,Platinum Emperion,SOM,,,,,,
main,1,Reliquary Tower,M13,,,,,,
main,1,Rogue's Passage,ORI,,,,,,
main,1,Seedborn Muse,10E,foil,,,,,
main,1,Selvala's Stampede,CN2,,,,,,
main,1,"Selvala, Heart of the Wilds",CN2,,,,,,
main,1,Sensei's Divining Top,CHK,,,,,,
main,1,Shrine of the Forsaken Gods,BFZ,,,,,,
main,1,Skyshroud Claim,NMS,,,,,,
main,1,Sol Ring,CC1,,,,,,
main,1,Stonehoof Chieftain,C16,,,,,,
main,1,Strip Mine,4ED,,,,,,
main,1,Sylvan Library,EMA,,,,,,
main,1,The Great Henge,ELD,,,,,,
main,1,Three Visits,CMR,,,,,,
main,1,Tooth and Nail,MRD,,,,,,
main,1,"Ugin, the Ineffable",WAR,,,,,,
main,1,"Ugin, the Spirit Dragon",FRF,,,,,,
main,1,"Ulamog, the Ceaseless Hunger",BFZ,,,,,,
main,1,"Ulamog, the Infinite Gyre",ROE,,,,,,
main,1,Vigor,LRW,,,,,,
main,1,Void Winnower,BFZ,,,,,,
main,1,"Vorinclex, Voice of Hunger",NPH,,,,,,
main,1,War Room,CMR,,,,,,
main,1,World Breaker,OGW,,,,,,
main,1,Worldly Tutor,MIR,,,,,,
main,1,Yavimaya Hollow,UDS,,,,,,
main,1,Zendikar Resurgent,OGW,,,,,,
