Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Akroma's Memorial,FUT,,,,,,
main,1,"Akroma, Angel of Wrath",,foil,,,,,
main,1,Angelic Arbiter,M11,foil,,,,,
main,1,Angelic Destiny,,,,,,,
maybe,1,Aqueous Form,,,,,,,
maybe,1,Arcane Signet,,,,,,,
main,1,Archangel of Thune,M14,,,,,,
main,1,Auramancer's Guise,,foil,,,,,
main,1,Auratouched Mage,,foil,,,,,
main,1,Azorius Signet,,foil,,,,,
main,1,Boonweaver Giant,,foil,,,,,
main,1,"Bruna, Light of Alabaster",,foil,,,,,True
main,1,Cathedral of War,,foil,,,,,
main,1,Celestial Colonnade,ZNE,foil,,,,,
main,1,Celestial Mantle,,,,,,,
main,1,Cloud Key,,,,,,,
main,1,Coastal Tower,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Copy Enchantment,,,,,,,
main,1,Corrupted Conscience,,foil,,,,,
main,1,Cyclonic Rift,,,,,,,
main,1,Daxos of Meletis,,foil,,,,,
main,1,Daybreak Coronet,,,,,,,
main,1,Divine Reckoning,,foil,,,,,
main,1,Dragonlord Ojutai,,,,,,,
main,1,Eldrazi Conscription,,,,,,,
main,1,"Elesh Norn, Grand Cenobite",MYS1,,,,,,
main,1,Enchanted Evening,,,,,,,
main,1,Enlightened Tutor,,,,,,,
main,1,Faerie Conclave,,foil,,,,,
main,1,Fool's Demise,,foil,,,,,
main,1,Geist of Saint Traft,,foil,,,,,
main,1,Gilded Lotus,,,,,,,
main,1,Glacial Floodplain,KHM,foil,,,,,
main,1,Godsend,,foil,,,,,
main,1,Grand Arbiter Augustin IV,,foil,,,,,
main,1,Greater Auramancy,SHM,,,,,,
maybe,1,Halimar Depths,,,,,,,
main,1,Hall of Heliod's Generosity,MH1,,,,,,
main,1,Hallowed Fountain,,,,,,,
main,1,Hero of Iroas,,foil,,,,,
main,1,Imprisoned in the Moon,,foil,,,,,
main,1,Island,,,,,,,
main,3,Island,BFZ,foil,,,,,
main,1,"Jace, Memory Adept",,foil,,,,,
main,1,Knight of the White Orchid,,foil,,,,,
main,1,Kor Spiritdancer,,,,,,,
main,1,Lighthouse Chronologist,,,,,,,
main,1,Lightning Greaves,,,,,,,
main,1,Meandering River,,foil,,,,,
main,1,Mesa Enchantress,M10,foil,,,,,
main,1,"Mikokoro, Center of the Sea",A25,,,,,,
main,1,"Minamo, School at Water's Edge",CHK,foil,,,,,
maybe,1,"Minamo, School at Water's Edge",,,,,,,
main,1,Mind's Dilation,,,,,,,
main,1,Mirror-Mad Phantasm,,foil,,,,,
main,1,Mystic Gate,EXP,foil,,,,,
main,1,Nimbus Maze,,,,,,,
main,1,Nomad Mythmaker,10E,,,,,,
main,1,Path to Exile,,foil,,,,,
maybe,1,Pemmin's Aura,,,,,,,
main,1,Plains,BBD,foil,,,,,
main,4,Plains,BFZ,foil,,,,,
main,1,Plains,THB,,,,,,
main,1,Port Town,,,,,,,
main,1,"Prahv, Spires of Order",DIS,,,,,,
main,1,Prairie Stream,EXP,foil,,,,,
main,1,Replenish,,,,,,,
main,1,Retether,,,,,,,
main,1,Righteous Authority,,foil,,,,,
main,1,Rogue's Passage,,foil,,,,,
main,1,"Rune-Tail, Kitsune Ascendant / Rune-Tail's Essence",SOK,,,,,,
main,1,Sage's Reverie,,foil,,,,,
main,1,"Sea Gate, Reborn",ZNR,,,,,,
main,1,Sea of Clouds,BBD,foil,,,,,
main,1,Seachrome Coast,,,,,,,
main,1,Sejiri Refuge,,foil,,,,,
main,1,Serra Ascendant,,,,,,,
main,1,Shielded by Faith,,,,,,,
main,1,Sigil of the Empty Throne,,foil,,,,,
main,1,Skycloud Expanse,,,,,,,
maybe,1,Smothering Tithe,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Soldier of the Pantheon,,foil,,,,,
main,1,Sovereigns of Lost Alara,,foil,,,,,
main,1,Spectra Ward,,foil,,,,,
main,1,Sphere of Safety,,foil,,,,,
main,1,Sphinx's Revelation,,,,,,,
main,1,Spirit Mantle,,,,,,,
main,1,Starfield of Nyx,,foil,,,,,
main,1,Steel of the Godhead,,,,,,,
maybe,1,Sublime Archangel,,,,,,,
main,1,Sun Titan,M11,pre,,,,,
main,1,Supreme Verdict,,foil,,,,,
main,1,Talisman of Progress,,foil,,,,,
maybe,1,"Teferi, Hero of Dominaria",,,,,,,
main,1,Temple of Enlightenment,BNG,foil,,,,,
main,1,"Thassa, God of the Sea",,,,,,,
main,1,Three Dreams,,foil,,,,,
main,1,Tranquil Cove,,foil,,,,,
main,1,Treachery,UDS,,,,,,
main,1,Umbra Mystic,ROE,,,,,,
main,1,Vivid Creek,,,,,,,
main,1,Wall of Reverence,,,,,,,
main,1,Windbrisk Heights,,,,,,,
main,1,Winds of Rath,,,,,,,
main,1,Wrath of God,V14,foil,,,,,
