Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Akroma's Devoted,LGN,foil,,,,,
main,1,Altar of Dementia,CNS,,,,,,
main,1,Ancestor's Prophet,ONS,foil,,,,,
main,1,Ancient Tomb,V12,foil,,,,,
main,1,Angel of Destiny,ZNR,foil,,,,,
main,1,Angel of Glory's Rise,000,foil,,,,,
main,1,Anguished Unmaking,000,foil,,,,,
main,1,Animate Dead,4ED,,,,,,
main,1,"Avacyn, Angel of Hope",AVR,,,,,,
main,1,"Ayli, Eternal Pilgrim",OGW,foil,,,,,
main,1,Barren Moor,ONS,,,,,,
main,1,Battletide Alchemist,MOR,foil,,,,,
main,1,Benevolent Bodyguard,EMA,foil,,,,,
main,1,Bolas's Citadel,WAR,,,,,,
main,1,Buried Alive,GRV,foil,,,,,
main,1,Cabal Archon,ONS,foil,,,,,
main,1,Cabal Coffers,000,foil,,,,,
main,1,Cavern of Souls,AVR,,,,,,
main,1,Caves of Koilos,C16,,,,,,
main,1,Changeling Hero,LRW,foil,,,,,
main,1,Children of Korlis,TSP,foil,,,,,
main,1,Chrome Mox,EMA,,,,,,
main,1,Command Tower,CMD,,,,,,
main,1,Concealed Courtyard,KLD,,,,,,
main,1,Cover of Darkness,ONS,,,,,,
main,1,Culling the Weak,EXO,,,,,,
main,1,Dance of the Dead,ICE,,,,,,
main,1,Dark Ritual,V13,foil,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Diabolic Intent,PLS,,,,,,
main,1,Dread Return,GRV,foil,,,,,
main,1,Edgewalker,SCG,foil,,,,,
main,1,Eiganjo Castle,CHK,,,,,,
main,1,Enlightened Tutor,EMA,,,,,,
main,1,Entomb,GRV,foil,,,,,
main,1,Fetid Heath,EVE,,,,,,
main,1,Fiend Hunter,ISD,foil,,,,,
main,1,Geier Reach Sanitarium,EMN,foil,,,,,
main,1,Generous Gift,MH1,,,,,,
main,1,Gift of Immortality,THS,foil,,,,,
main,1,Giver of Runes,MH1,,,,,,
main,1,Godless Shrine,GTC,,,,,,
main,1,Grand Abolisher,M12,,,,,,
main,1,Heliod's Pilgrim,M15,foil,,,,,
main,1,High Market,V12,foil,,,,,
main,1,Isolated Chapel,ISD,,,,,,
main,1,Living Death,V14,foil,,,,,
main,1,Mana Crypt,EMA,,,,,,
main,1,"Mangara, the Diplomat",M21,foil,,,,,
main,1,Marsh Flats,MM3,,,,,,
main,1,Mistveil Plains,SHM,foil,,,,,
main,1,Morality Shift,JUD,foil,,,,,
main,1,Mother of Runes,000,foil,,,,,
main,1,Mox Amber,DOM,,,,,,
main,1,Mox Diamond,STH,,,,,,
main,1,Necrologia,EXO,,,,,,
main,1,Necropotence,ICE,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,"Orah, Skyclave Hierophant",ZNR,foil,,,,,
main,1,Path of Ancestry,C17,,,,,,
main,1,Path to Exile,DDI,,,,,,
main,4,Plains,C17,foil,,,,,
main,1,Priest of Gix,DDE,,,,,,
main,1,Prismatic Vista,MH1,,,,,,
main,1,"Ravos, Soultender",C16,foil,,,,,True
main,1,"Razaketh, the Foulblooded",HOU,,,,,,
main,1,Reanimate,TMP,,,,,,
main,1,Reflecting Pool,CNS,,,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Remorseful Cleric,M19,foil,,,,,
main,1,Righteous Valkyrie,KHM,foil,,,,,
main,1,Scheming Symmetry,M20,,,,,,
main,1,Scrubland,3ED,,,,,,
main,1,Secluded Steppe,MH1,foil,,,,,
main,1,Selfless Spirit,EMN,foil,,,,,
main,1,Sensei's Divining Top,CHK,,,,,,
main,1,"Shizo, Death's Storehouse",CHK,,,,,,
main,1,Silent Clearing,MH1,,,,,,
main,1,Skirsdag High Priest,ISD,foil,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Sol Ring,C17,,,,,,
main,1,Soul Warden,10E,foil,,,,,
main,1,Soul's Attendant,ROE,foil,,,,,
main,1,Speaker of the Heavens,M21,foil,,,,,
main,4,Swamp,C17,foil,,,,,
main,1,Swords to Plowshares,V13,foil,,,,,
main,1,"Taborax, Hope's Demise",ZNR,foil,,,,,
main,1,Temple of Silence,THS,foil,,,,,
main,1,Tymna the Weaver,C16,foil,,,,,True
main,1,"Urborg, Tomb of Yawgmoth",V12,foil,,,,,
main,1,Vampiric Tutor,VIS,,,,,,
main,1,Vindicate,EMA,foil,,,,,
main,1,Weathered Wayfarer,9ED,,,,,,
main,1,"Yawgmoth, Thran Physician",MH1,foil,,,,,
