Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ashnod's Altar,,,,,,,
main,1,Assassin's Trophy,,,,,,,
main,1,Bala Ged Recovery,,,,,,,
main,1,Bayou,,,,,,,
main,1,"Belbe, Corrupted Observer",,,,,,,
main,1,Blighted Woodland,,,,,,,
main,1,Bojuka Bog,,,,,,,
main,1,Castle Garenbrig,,,,,,,
main,1,Castle Locthwain,,,,,,,
main,1,Circle of Dreams Druid,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Cryptolith Rite,,,,,,,
main,1,Cultivate,,,,,,,
main,1,Darkbore Pathway,,,,,,,
main,1,Deathreap Ritual,,,,,,,
main,1,Deathspore Thallid,,,,,,,
main,1,Dictate of Erebos,,,,,,,
main,1,"Dina, Soul Steeper",,,,,,,
main,1,Doubling Season,,,,,,,
main,1,Elvish Farmer,,,,,,,
main,1,Exotic Orchard,,,,,,,
main,1,Fabled Passage,,,,,,,
main,1,Fecundity,,,,,,,
main,7,Forest,,,,,,,
main,1,Fungal Plots,,,,,,,
main,1,Fungal Rebirth,,,,,,,
main,1,Gaea's Cradle,,,,,,,
main,1,Golgari Charm,,,,,,,
main,1,Golgari Rot Farm,,,,,,,
main,1,Grim Backwoods,,,,,,,
main,1,Growing Rites of Itlimoc,,,,,,,
main,1,Karn's Bastion,,,,,,,
main,1,Kodama's Reach,,,,,,,
main,1,Lampad of Death's Vigil,,,,,,,
main,1,Life and Limb,,,,,,,
main,1,Llanowar Wastes,,,,,,,
main,1,Moldervine Reclamation,,,,,,,
main,1,Mortuary Mire,,,,,,,
main,1,Mycoloth,,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,Nadier's Nightblade,,,,,,,
main,1,Necrogenesis,,,,,,,
main,1,Nurturing Peatland,,,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Overgrown Tomb,,,,,,,
main,1,Parallel Lives,,,,,,,
main,1,Phyrexian Altar,,,,,,,
main,1,Phyrexian Tower,,,,,,,
main,1,Pitiless Plunderer,,,,,,,
main,1,Poison-Tip Archer,,,,,,,
main,1,Priest of Forgotten Gods,,,,,,,
main,1,Prismatic Vista,,,,,,,
main,1,Psychotrope Thallid,,,,,,,
main,1,Rampant Growth,,,,,,,
main,1,Reliquary Tower,,,,,,,
main,1,Sakura-Tribe Elder,,,,,,,
main,1,Saproling Symbiosis,,,,,,,
main,1,Savage Thallid,,,,,,,
main,1,Second Harvest,,,,,,,
main,1,Seedborn Muse,,,,,,,
main,1,Skullclamp,,,,,,,
main,1,"Slimefoot, the Stowaway",,,,,,,True
main,1,Smothering Abomination,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Species Specialist,,,,,,,
main,1,Spore Flower,,,,,,,
side,1,Sporecrown Thallid,,,,,,,
main,1,Sporemound,,,,,,,
main,1,Sporesower Thallid,,,,,,,
main,1,Sporoloth Ancient,,,,,,,
main,1,Sprout Swarm,,,,,,,
main,2,Swamp,,,,,,,
main,1,Tainted Wood,,,,,,,
main,1,Temple of Malady,,,,,,,
main,1,Tendershoot Dryad,,,,,,,
main,1,Thallid,,,,,,,
main,1,Thallid Germinator,,,,,,,
main,1,Thallid Shell-Dweller,,,,,,,
main,1,Thallid Soothsayer,,,,,,,
main,1,Thelon of Havenwood,,,,,,,
main,1,Thelonite Hermit,,,,,,,
main,1,Undergrowth Stadium,,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",,,,,,,
main,1,Utopia Mycon,,,,,,,
main,1,Vampiric Rites,,,,,,,
main,1,Verdant Catacombs,,,,,,,
main,1,Verdant Force,,,,,,,
side,1,Verdeloth the Ancient,,,,,,,
main,1,Vindictive Vampire,,,,,,,
main,1,Viscera Seer,,,,,,,
main,1,Vitaspore Thallid,,,,,,,
main,1,Winding Constrictor,,,,,,,
main,1,Woodland Cemetery,,,,,,,
main,1,"Yavimaya, Cradle of Growth",,,,,,,
main,1,Zulaport Cutthroat,,,,,,,
