Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
maybe,1,Abrade,CMR,,,,,,
main,1,Academy Ruins,2XM,,,,,,
main,1,All Is Dust,MM2,,,,,,
main,1,Ancient Stone Idol,C18,,,,,,
main,1,Arcane Signet,C21,,,,,,
main,1,Basalt Monolith,2XM,foil,,,,,
main,1,Blasphemous Act,C14,,,,,,
main,1,Buried Ruin,C16,,,,,,
main,1,Combustible Gearhulk,C21,,,,,,
main,1,Command Tower,C16,,,,,,
main,1,Contagion Engine,SOM,,,,,,
main,1,Counterspell,3ED,,,,,,
main,1,Cryptic Command,MM2,,,,,,
maybe,1,Cursed Mirror,C21,,,,,,
main,1,"Daretti, Scrap Savant",C14,,,,,,
main,1,Darksteel Forge,DST,,,,,,
main,1,Duplicant,C21,,,,,,
maybe,1,Empowered Autogenerator,C19,,,,,,
main,1,"Emry, Lurker of the Loch",ELD,,,,,,
main,1,Etherium Sculptor,ALA,foil,,,,,
maybe,1,Everflowing Chalice,2XM,,,,,,
maybe,1,Expedition Map,2XM,foil,,,,,
main,1,Fabricate,M10,,,,,,
maybe,1,Forgotten Cave,DDT,,,,,,
main,1,Frostboil Snarl,STX,,,,,,
main,1,Glimmervoid,MRD,,True,,,,
main,1,Goblin Welder,C14,,,,,,
main,1,Gonti's Aether Heart,AER,,,,,,
main,1,Great Furnace,C18,,,,,,
main,1,Hangarback Walker,000,foil,,,,,
maybe,1,Hedron Archive,C21,,,,,,
maybe,1,Inventors' Fair,KLD,,,,,,
main,13,Island,000,foil,,,,,
main,1,Izzet Signet,C18,,,,,,
main,1,"Jhoira, Weatherlight Captain",DOM,pre,,,,,
maybe,1,"Kurkesh, Onakke Ancient",M15,,,,,,
main,1,Lavabrink Floodgates,C20,,,,,,
main,1,Lightning Greaves,MRD,,,,,,
maybe,1,Lonely Sandbar,MH1,,,,,,
main,1,Lux Cannon,SOM,,,,,,
maybe,1,Madcap Experiment,KLD,,,,,,
main,1,Magistrate's Scepter,MMQ,,,,,,
main,1,Mana Drain,CMR,,,,,,
main,1,Manifold Key,M20,,,,,,
main,1,Master of Etherium,DDF,,,,,,
main,1,Memnarch,V16,foil,,,,,
main,1,Metalworker,UDS,,,,,,
main,1,Mimic Vat,C19,,,,,,
main,1,"Minamo, School at Water's Edge",CHK,,,,,,
main,1,Mind Stone,C21,,,,,,
main,1,Mindslaver,MYSTOR,foil,,,,,
main,1,Mirrorworks,C18,,,,,,
main,6,Mountain,BFZ,,,,,,
main,1,Mox Opal,MM2,,,,,,
main,1,Myr Battlesphere,C18,,,,,,
maybe,1,Negate,RIX,,,,,,
main,1,Nevinyrral's Disk,CMR,foil,,,,,
main,1,Oracle's Vault,AKH,,,,,,
main,1,"Padeem, Consul of Innovation",KLD,,,,,,
main,1,Phyrexian Metamorph,NPH,,,,,,
main,1,Pia's Revolution,AER,,,,,,
main,1,Planar Bridge,AER,,,,,,
maybe,1,Power Depot,MH2,,,,,,
maybe,1,Ratchet Bomb,000,foil,,,,,
maybe,1,Reality Shift,C19,,,,,,
main,1,Reckless Fireweaver,KLD,foil,,,,,
main,1,Reliquary Tower,M13,,,,,,
maybe,1,Replicating Ring,KHM,,,,,,
main,1,Retrofitter Foundry,C18,,,,,,
maybe,1,Reverberate,M12,,,,,,
main,1,Rings of Brighthearth,LRW,,,,,,
main,1,Riverglide Pathway,ZNR,,,,,,
maybe,1,Ruin Grinder,C21,,,,,,
main,1,Saheeli's Directive,C18,,,,,,
main,1,"Saheeli, the Gifted",C18,foil,,,,,
main,1,Scrap Trawler,C21,,,,,,
maybe,1,Sculpting Steel,C21,,,,,,
main,1,Seat of the Synod,C18,,,,,,
main,1,Shimmer Myr,MBS,,,,,,
main,1,Shivan Reef,9ED,,,,,,
main,1,Silverbluff Bridge,MH2,foil,,,,,
maybe,1,Skyclave Relic,ZNR,,,,,,
maybe,1,Smelt,M19,foil,,,,,
main,1,Sol Ring,000,,,,,,
main,1,Solemn Simulacrum,C21,,,,,,
main,1,Soul of New Phyrexia,C18,,,,,,
main,1,Spirebluff Canal,KLD,,,,,,
main,1,Staff of Domination,5DN,,,,,,
main,1,Steam Vents,SLD,,,,,,
maybe,1,Steel Hellkite,C21,,,,,,
main,1,Steel Overseer,C21,,,,,,
main,1,Stoic Rebuttal,SOM,,,,,,
main,1,Storm the Vault,RIX,,,,,,
main,1,Sulfur Falls,ISD,,,,,,
main,1,Talisman of Creativity,MH1,,,,,,
main,1,"Tawnos, Urza's Apprentice",C18,foil,,,,,True
main,1,Tezzeret the Seeker,DDF,foil,,,,,
main,1,Transmogrifying Wand,M19,pre,,,,,
main,1,Transmute Artifact,ATQ,,,,,,
maybe,1,Treasure Map,XLN,,,,,,
main,1,Treasure Vault,AFR,foil,,,,,
maybe,1,Triplicate Titan,C21,,,,,,
main,1,Unwinding Clock,C18,,,,,,
main,1,Vedalken Engineer,DST,,,,,,
main,1,Wayfarer's Bauble,MM2,,,,,,
main,1,Whir of Invention,MYS1,,,,,,
main,1,Wurmcoil Engine,SOM,,,,,,
