Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ajani's Chosen,M14,foil,,,,,
main,1,Ancestral Mask,MMQ,,,,,,
main,1,Angelic Destiny,MYS1,,,,,,
main,1,Aqueous Form,THS,,,,,,
main,1,Archetype of Imagination,BNG,,,,,,
main,1,Archon of Sun's Grace,THB,,,,,,
main,1,Armadillo Cloak,EMA,,,,,,
main,1,Aura of Silence,MYS1,,,,,,
main,1,Battle Mastery,BBD,,,,,,
main,1,Blossoming Sands,KTK,,,,,,
main,1,Celestial Ancient,C15,,,,,,
main,1,Celestial Archon,000,foil,,,,,
main,1,Command Tower,C17,,,,,,
main,1,Creeping Renaissance,C18,,,,,,
main,1,Dowsing Shaman,RAV,,,,,,
main,1,Eidolon of Blossoms,JOU,,,,,,
main,1,Eidolon of Countless Battles,BNG,,,,,,
main,1,Enchantress's Presence,C18,,,,,,
main,1,Ephara's Enlightenment,BNG,,,,,,
main,1,Ethereal Armor,RTR,,,,,,
main,1,Evolving Wilds,M13,,,,,,
main,1,Fertile Ground,BBD,foil,,,,,
main,1,Flitterstep Eidolon,BNG,,,,,,
main,9,Forest,,,,,,,
main,1,Gateway Plaza,GRN,,,,,,
main,1,Ghostblade Eidolon,C15,,,,,,
main,1,Gift of Paradise,AKH,,,,,,
main,1,Graypelt Refuge,DDP,,,,,,
main,1,Hall of Heliod's Generosity,MH1,,,,,,
main,1,Heliod's Emissary,THS,,,,,,
main,1,Helm of the Gods,ORI,,,,,,
main,1,Hopeful Eidolon,THS,,,,,,
main,1,Idyllic Tutor,THB,,,,,,
main,5,Island,,,,,,,
main,1,"Kestia, the Cultivator",C18,foil,,,,,True
main,1,Krond the Dawn-Clad,PCA,,,,,,
main,1,Levitation,M12,,,,,,
main,1,Market Festival,JOU,foil,,,,,
main,1,Mesa Enchantress,M12,,,,,,
main,1,Naturalize,M13,,,,,,
main,1,Nimbus Naiad,THS,,,,,,
main,1,Nylea's Colossus,C18,,,,,,
main,1,Nylea's Emissary,THS,,,,,,
main,1,Observant Alseid,THS,,,,,,
main,1,Phalanx Leader,THS,,,,,,
main,1,Phyrexian Rebirth,C18,,,,,,
main,12,Plains,,,,,,,
main,1,Pongify,C14,,,,,,
main,1,Privileged Position,GK1,,,,,,
main,1,Resurgent Belief,MH2,,,,,,
main,1,Return to Nature,THB,,,,,,
main,1,Sanctum Weaver,MH2,,,,,,
main,1,Satyr Enchanter,M19,,,,,,
main,1,Selesnya Sanctuary,GK1,,,,,,
main,1,Selesnya Signet,GK1,,,,,,
main,1,Setessan Champion,THB,,,,,,
main,1,Sheltered Aerie,DTK,,,,,,
main,1,Sigil of the Empty Throne,C18,,,,,,
main,1,Silent Sentinel,C18,,,,,,
main,1,Simic Growth Chamber,CMD,,,,,,
main,1,Simic Signet,CMD,,,,,,
main,1,Snake Umbra,ROE,,,,,,
main,1,Solitary Confinement,MH2,,,,,,
main,1,Sphere of Safety,C16,,,,,,
main,1,Staggering Insight,THB,,,,,,
main,1,"Sythis, Harvest's Hand",MH2,,,,,,
main,1,Thassa's Emissary,THS,,,,,,
main,1,Thornwood Falls,KTK,,,,,,
main,1,Tranquil Cove,KTK,,,,,,
main,1,Unflinching Courage,DGM,,,,,,
main,1,Verdant Haven,M14,,,,,,
main,1,Verduran Enchantress,5ED,,,,,,
main,1,Vow of Wildness,CMD,,,,,,
main,1,Whitewater Naiads,JOU,,,,,,
main,1,Winds of Rath,C18,,,,,,
main,1,Woodland Stream,KLD,,,,,,
main,1,Yavimaya Enchantress,UDS,,,,,,
