Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
maybe,1,Animate Dead,,,,,,,
main,1,Ashnod's Altar,CHR,,,,,,
main,1,Assassin's Trophy,GRN,,,,,,
main,1,Attrition,CMD,,,,,,
main,1,Bellowing Tanglewurm,SOM,,,,,,
maybe,1,Blasted Landscape,,,,,,,
acquire,1,Blasted Landscape,,,,,,,
main,1,Blooming Marsh,KLD,,,,,,
main,1,Cabal Coffers,MH2,,,,,,
main,1,Castle Locthwain,ELD,,,,,,
main,1,City of Solitude,VIS,,,,,,
main,1,Coalition Relic,A25,,,,,,
main,1,Coat of Arms,10E,,,,,,
main,1,Command Tower,CC1,,,,,,
main,1,Creakwood Liege,MM2,,,,,,
main,1,Crown of Skemfar,KHC,,,,,,
main,1,Cultivate,STA,foil,,,,JA,
main,1,Deathrite Shaman,RTR,,,,,,
maybe,1,Deglamer,MOR,,,,,,
main,1,Driven / Despair,HOU,,,,,,
main,1,Dryad Arbor,FUT,,,,,,
maybe,1,Earthcraft,,,,,,,
acquire,1,Earthcraft,,,,,,,
main,1,"Eladamri, Lord of Leaves",TMP,,,,,,
main,1,Elves of Deep Shadow,DRK,,,,SL,,
main,1,Elvish Archdruid,M13,,,,,,
main,1,Elvish Champion,INV,,,,,,
main,1,Elvish Harbinger,LRW,,,,,,
main,1,Eternal Witness,DDJ,,,,,,
maybe,1,Expedition Map,,,,,,,
main,1,"Ezuri, Renegade Leader",C14,,,,,,
main,1,Fauna Shaman,M11,,,,,,
main,2,Forest,INV,,,,,,
main,3,Forest,MMQ,,,,,,
main,1,Forest,ODY,,,,SL,,
main,2,Forest,POR,,,,,,
main,1,Fyndhorn Elves,ICE,,,,,,
maybe,1,Gaea's Herald,PLS,,,,,,
main,1,"Garruk, Cursed Huntsman",ELD,,,,,,
main,1,Geier Reach Sanitarium,C19,,,,,,
main,1,Geth's Grimoire,DST,,,,,,
main,1,Ghost Quarter,ISD,,,,,,
maybe,1,Gilt-Leaf Palace,,,,,,,
acquire,1,Gilt-Leaf Palace,,,,,,,
main,1,"Glissa, the Traitor",000,foil,,,,,
main,1,Golgari Rot Farm,DDJ,,,,,,
main,1,Golgari Signet,RAV,,,,,,
main,1,Grave Pact,CMD,,,,,,
maybe,1,Gravity Well,ROE,,,,,,
main,1,Grim Tutor,M21,,,,,,
maybe,1,Heroic Intervention,AER,,,,,,
main,1,Howling Mine,M10,,,,,,
main,1,Imperious Perfect,LRW,,,,,,
maybe,1,Jarad's Orders,,,,,,,
acquire,1,Joraga Treespeaker,,,,,,,
main,1,Joraga Warcaller,000,foil,,,,ES,
main,1,Kindred Dominance,C17,,,,,,
main,1,Larceny,MMQ,,,,,,
main,1,Lightning Greaves,C19,,,,,,
main,1,Liliana of the Veil,ISD,,,,SL,,
main,1,Liliana's Caress,M11,,,,,JA,
acquire,1,Liliana's Caress,,,,,,,
maybe,1,Llanowar Wastes,APC,,,,,,
main,1,Memory Jar,ULG,,True,,,,
main,1,"Miara, Thorn of the Glade",KHC,foil,,,,,
main,1,"Mikokoro, Center of the Sea",A25,,,,,,
main,1,Mind Slash,NMS,,,,,,
main,1,Mindslicer,ODY,,,,,JA,
main,1,Mutavault,PSG,foil,,,,,
maybe,1,Myojin of Night's Reach,,,,,,,
acquire,1,Myojin of Night's Reach,,,,,,,
main,1,Nath of the Gilt-Leaf,LRW,foil,,,,,True
main,1,Nature's Lore,POR,,,,,,
maybe,1,Necrogen Mists,,,,,,,
main,1,Necromancy,VIS,,,,,,
main,1,Noetic Scales,USG,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,"Okina, Temple to the Grandfathers",CHK,,,,,,
main,1,Oracle of Mul Daya,ZEN,,,,,,
main,1,"Oran-Rief, the Vastwood",C15,,,,,,
main,1,Overgrown Tomb,RTR,,,,,,
acquire,1,Overgrown Tomb,,,,,,,
main,1,Pact of the Serpent,KHC,,,,,,
main,1,Painful Quandary,SOM,,,,,RU,
main,1,Patriarch's Bidding,ONS,,,,MP,,
maybe,1,Phyrexian Arena,,,,,,,
maybe,1,Phyrexian Reclamation,,,,,,,
main,1,Polluted Mire,USG,,,,,,
main,1,Priest of Titania,USG,,,,SL,,
maybe,1,Raiders' Wake,,,,,,,
maybe,1,Raking Canopy,,,,,,,
main,1,"Rankle, Master of Pranks",ELD,foil,,,,,
main,1,Relic Crush,ZEN,,,,,,
main,1,Relic of Progenitus,ALA,,,,,,
main,1,Root Maze,TMP,,,,,,
main,1,Sadistic Hypnotist,DDJ,,,,,,
main,1,Serpent's Soul-Jar,KHC,,,,,,
main,1,Skullclamp,CMD,,,,,,
main,1,Sol Ring,CC1,,,,,,
main,1,Swamp,MIR,,,,,,
main,6,Swamp,MMQ,,,,,,
main,1,Sylvan Library,CC1,,,,,,
main,1,Syphon Mind,ONS,foil,,,,,
main,1,Tainted Wood,DDM,,,,,,
acquire,1,Tainted Wood,,,,,,,
main,1,"Tergrid, God of Fright",KHM,foil,,,,,
main,1,Terramorphic Expanse,PDS,foil,,,,,
main,1,Thrilling Encore,BBD,,,,,,
main,1,Torment of Hailfire,MYS1,,,,,,
main,1,"Tourach, Dread Cantor",MH2,,,,,,
maybe,1,Twilight Mire,EVE,,,,,,
main,1,Verdant Catacombs,MH2,,,,,,
main,1,Viridian Shaman,MRD,,,,,,
main,1,Waste Not,M15,,,,,,
main,1,Wood Elves,000,foil,,,,,
main,1,Woodland Cemetery,ISD,,,,,,
main,1,Worldly Tutor,CC1,,,,,,
