Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Agent of Erebos,JOU,,,,,,
main,1,"Alela, Artful Provocateur",,,,,,,True
main,1,All That Glitters,ELD,,,,,,
main,1,Ancient Den,,,,,,,
main,1,Arcane Sanctum,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Archetype of Courage,,,,,,,
main,1,Archetype of Finality,BNG,,,,,,
main,1,Archetype of Imagination,,,,,,,
main,1,Artificer's Hex,,,,,,,
main,1,Authority of the Consuls,,,,,,,
main,1,Azorius Cluestone,,,,,,,
main,1,Baleful Strix,,,,,,,
main,1,Bident of Thassa,,,,,,,
main,1,Bitterheart Witch,ISD,,,,,,
main,1,Blind Obedience,,,,,,,
main,1,Brainstorm,,,,,,,
main,1,Brightclimb Pathway,SLU,,,,,,
main,1,Clearwater Pathway,SLU,,,,,,
main,1,Command Tower,C18,,,,,,
main,1,Concealed Courtyard,KLD,,,,,,
main,1,Counterspell,CMR,,,,,,
main,1,Cruel Reality,,,,,,,
main,1,Curse of Death's Hold,ISD,,,,,,
main,1,Curse of Exhaustion,DKA,,,,,,
main,1,Curse of Fool's Wisdom,C19,,,,,,
main,1,Curse of Misfortunes,DKA,,,,,,
main,1,Curse of Verbosity,,,,,,,
main,1,Darksteel Mutation,C21,,,,,,
main,1,Deserted Beach,MID,,,,,,
main,1,Dimir Cluestone,,,,,,,
main,1,Dire Undercurrents,,,,,,,
main,1,Doomwake Giant,C15,,,,,,
main,1,Dovin's Veto,,,,,,,
main,1,Dromar's Cavern,,,,,,,
main,1,Drowned Catacomb,,,,,,,
main,1,Edge of the Divinity,EVE,,,,,,
main,1,"Ephara, God of the Polis",,,,,,,
main,1,Etchings of the Chosen,,,,,,,
main,1,Ethereal Armor,RTR,,,,,,
main,1,Expedition Map,,,,,,,
main,1,Faith's Fetters,,,,,,,
main,1,Favorable Winds,,,,,,,
main,1,Fracture,STX,,,,,,
main,1,Ghostly Prison,C21,,,,,,
main,1,Glacial Fortress,,,,,,,
main,1,Hall of Heliod's Generosity,MH1,,,,,,
main,1,"Hanna, Ship's Navigator",,,,,,,
main,1,Helm of the Ghastlord,,,,,,,
main,1,Hengegate Pathway,SLU,,,,,,
main,1,Idol of Oblivion,,,,,,,
main,1,Idyllic Tutor,,,,,,,
main,1,Imprisoned in the Moon,,,,,,,
main,5,Island,HOU,,,,,,
main,1,Karmic Justice,C15,,,,,,
main,1,Lawmage's Binding,,,,,,,
main,1,Leyline of Anticipation,,,,,,,
main,1,Mesa Enchantress,EMA,,,,,,
main,1,Mirrormade,,,,,,,
main,1,Mortify,C18,,,,,,
main,1,Obelisk of Esper,ARC,,,,,,
main,1,Open the Vaults,2XM,,,,,,
main,1,Ornithopter of Paradise,,,,,,,
main,1,Orzhov Cluestone,,,,,,,
main,6,Plains,HOU,,,,,,
main,1,Plea for Guidance,BNG,,,,,,
main,1,Ponder,,,,,,,
main,1,Prairie Stream,,,,,,,
main,1,Prison Term,CMD,,,,,,
main,1,Protean Thaumaturge,,,,,,,
main,1,Riptide Chimera,,,,,,,
main,1,Seat of the Synod,,,,,,,
main,1,Shineshadow Snarl,STX,,,,,,
main,1,Shipwreck Marsh,MID,,,,,,
main,1,Sigil of the Empty Throne,C18,,,,,,
main,1,Starfield Mystic,,,,,,,
main,1,Starnheim Courser,,,,,,,
main,1,Sunken Hollow,,,,,,,
main,1,Supreme Verdict,,,,,,,
main,5,Swamp,HOU,,,,,,
main,1,Swiftfoot Boots,KHC,,,,,,
main,1,Torment of Scarabs,HOU,,,,,,
main,1,Underworld Dreams,THB,,,,,,
main,1,Vampiric Rites,,,,,,,
main,1,Vault of Whispers,,,,,,,
main,1,Vindicate,,,,,,,
main,1,Zur the Enchanter,,,,,,,
